candidate,N,q,isolated_winner_path,isolated_runner_up,isolated_gap_pct,e2e_winner_path,e2e_runner_up,e2e_gap_pct,isolated_winner_family,e2e_winner_family,isolated_best_us,e2e_best_us,reversal_flag,notes
C0_DEFAULT,512,2,COMM_ONLY,DC_PUSHSIG_ONLY,43.633,R0_FULL_SERIAL,R1_EVENT_OVERLAP,3.575,RCCL,RCCL,535.761,1206.319,CONSISTENT,
C0_DEFAULT,512,4,COMM_ONLY,DC_PUSHSIG_ONLY,47.783,R1_EVENT_OVERLAP,R0_FULL_SERIAL,18.241,RCCL,RCCL,620.000,988.958,CONSISTENT,
C0_DEFAULT,512,8,COMM_ONLY,DC_PUSHSIG_ONLY,58.538,R0_FULL_SERIAL,R1_EVENT_OVERLAP,6.213,RCCL,RCCL,797.439,1203.919,CONSISTENT,
C0_DEFAULT,2048,2,COMM_ONLY,DC_PUSHSIG_ONLY,39.259,R0_FULL_SERIAL,R1_EVENT_OVERLAP,15.232,RCCL,RCCL,579.520,1898.318,CONSISTENT,
C0_DEFAULT,2048,4,COMM_ONLY,DC_PUSHSIG_ONLY,48.208,R0_FULL_SERIAL,R1_EVENT_OVERLAP,42.491,RCCL,RCCL,653.120,1898.159,CONSISTENT,
C0_DEFAULT,2048,8,COMM_ONLY,DC_PUSHSIG_ONLY,57.560,R0_FULL_SERIAL,R1_EVENT_OVERLAP,44.425,RCCL,RCCL,823.600,1899.120,CONSISTENT,
C0_DEFAULT,2048,16,COMM_ONLY,DC_PUSHSIG_ONLY,65.911,R1_EVENT_OVERLAP,RS_SLICE_SERIAL,26.967,RCCL,RCCL,1100.240,2626.159,CONSISTENT,
C0_DEFAULT,4096,2,COMM_ONLY,DC_PUSHSIG_ONLY,36.649,RS_SLICE_SERIAL,R0_FULL_SERIAL,0.952,RCCL,RCCL,616.480,4285.279,CONSISTENT,
C0_DEFAULT,4096,4,COMM_ONLY,DC_PUSHSIG_ONLY,44.208,R1_EVENT_OVERLAP,RS_SLICE_SERIAL,2.742,RCCL,RCCL,688.880,4099.522,CONSISTENT,
C0_DEFAULT,4096,8,COMM_ONLY,DC_PUSHSIG_ONLY,56.571,R0_FULL_SERIAL,R1_EVENT_OVERLAP,28.090,RCCL,RCCL,853.361,4360.957,CONSISTENT,
C0_DEFAULT,4096,16,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,1114.880,6337.439,CONSISTENT,
C2_RING_SIMPLE_CH8,512,2,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,646.321,1269.599,CONSISTENT,
C2_RING_SIMPLE_CH8,512,4,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,735.761,1084.320,CONSISTENT,
C2_RING_SIMPLE_CH8,512,8,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,915.280,1331.120,CONSISTENT,
C2_RING_SIMPLE_CH8,2048,2,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,680.801,2247.041,CONSISTENT,
C2_RING_SIMPLE_CH8,2048,4,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,761.760,3275.680,CONSISTENT,
C2_RING_SIMPLE_CH8,2048,8,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,936.961,3444.720,CONSISTENT,
C2_RING_SIMPLE_CH8,4096,2,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,717.120,4301.360,CONSISTENT,
C2_RING_SIMPLE_CH8,4096,4,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,796.160,4052.002,CONSISTENT,
C2_RING_SIMPLE_CH8,4096,8,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,962.321,6049.999,CONSISTENT,
C2_RING_SIMPLE_CH8,4096,16,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,1303.600,6345.675,CONSISTENT,
