N,q,isolated_ranking_top3,isolated_winner_label,isolated_best_us,e2e_ranking_top3,e2e_winner_label,e2e_best_us,iso_winner_family,e2e_winner_family,substrate_reversal_flag,comm_C2_vs_C0_iso_pct,r1_C2_vs_C0_e2e_pct,rccl_config_flag
512,2,comm_only_c0_default:536 < comm_only_c2_ring_simple_ch8:646 < dc_pushsig_only_c0_default:950,comm_only_c0_default,535.761,r0_full_serial_c0_default:1206 < r1_event_overlap_c0_default:1251 < r1_event_overlap_c2_ring_simple_ch8:1270,r0_full_serial_c0_default,1206.319,RCCL,RCCL,CONSISTENT,-20.636,-1.483,CONSISTENT
512,4,comm_only_c0_default:620 < comm_only_c2_ring_simple_ch8:736 < dc_pushsig_only_c0_default:1187,comm_only_c0_default,620.000,r1_event_overlap_c0_default:989 < r1_event_overlap_c2_ring_simple_ch8:1084 < r0_full_serial_c0_default:1210,r1_event_overlap_c0_default,988.958,RCCL,RCCL,CONSISTENT,-18.671,-9.643,CONSISTENT
512,8,comm_only_c0_default:797 < comm_only_c2_ring_simple_ch8:915 < dc_pushsig_only_c0_default:1923,comm_only_c0_default,797.439,r0_full_serial_c0_default:1204 < r1_event_overlap_c0_default:1284 < r1_event_overlap_c2_ring_simple_ch8:1331,r0_full_serial_c0_default,1203.919,RCCL,RCCL,CONSISTENT,-14.777,-3.696,CONSISTENT
2048,2,comm_only_c0_default:580 < comm_only_c2_ring_simple_ch8:681 < dc_pushsig_only_c0_default:954,comm_only_c0_default,579.520,r0_full_serial_c0_default:1898 < r1_event_overlap_c0_default:2239 < r1_event_overlap_c2_ring_simple_ch8:2247,r0_full_serial_c0_default,1898.318,RCCL,RCCL,CONSISTENT,-17.477,-0.339,CONSISTENT
2048,4,comm_only_c0_default:653 < comm_only_c2_ring_simple_ch8:762 < dc_pushsig_only_c0_default:1261,comm_only_c0_default,653.120,r0_full_serial_c0_default:1898 < r1_event_overlap_c2_ring_simple_ch8:3276 < r1_event_overlap_c0_default:3301,r0_full_serial_c0_default,1898.159,RCCL,RCCL,CONSISTENT,-16.634,0.756,CONSISTENT
2048,8,comm_only_c0_default:824 < comm_only_c2_ring_simple_ch8:937 < dc_pushsig_only_c0_default:1941,comm_only_c0_default,823.600,r0_full_serial_c0_default:1899 < r1_event_overlap_c0_default:3417 < r1_event_overlap_c2_ring_simple_ch8:3445,r0_full_serial_c0_default,1899.120,RCCL,RCCL,CONSISTENT,-13.764,-0.805,CONSISTENT
2048,16,comm_only_c0_default:1100 < dc_pushsig_only_c0_default:3228,comm_only_c0_default,1100.240,r1_event_overlap_c0_default:2626 < rs_slice_serial_c0_default:3596 < d1_pushsig_overlap_c0_default:15129,r1_event_overlap_c0_default,2626.159,RCCL,RCCL,CONSISTENT,,,N/A
4096,2,comm_only_c0_default:616 < comm_only_c2_ring_simple_ch8:717 < dc_pushsig_only_c0_default:973,comm_only_c0_default,616.480,rs_slice_serial_c0_default:4285 < r1_event_overlap_c2_ring_simple_ch8:4301 < r0_full_serial_c0_default:4326,rs_slice_serial_c0_default,4285.279,RCCL,RCCL,CONSISTENT,-16.325,1.475,RCCL_CONFIG_REVERSAL
4096,4,comm_only_c0_default:689 < comm_only_c2_ring_simple_ch8:796 < dc_pushsig_only_c0_default:1235,comm_only_c0_default,688.880,r1_event_overlap_c2_ring_simple_ch8:4052 < r1_event_overlap_c0_default:4100 < rs_slice_serial_c0_default:4215,r1_event_overlap_c2_ring_simple_ch8,4052.002,RCCL,RCCL,CONSISTENT,-15.573,1.159,RCCL_CONFIG_REVERSAL
4096,8,comm_only_c0_default:853 < comm_only_c2_ring_simple_ch8:962 < dc_pushsig_only_c0_default:1965,comm_only_c0_default,853.361,r0_full_serial_c0_default:4361 < r1_event_overlap_c2_ring_simple_ch8:6050 < r1_event_overlap_c0_default:6064,r0_full_serial_c0_default,4360.957,RCCL,RCCL,CONSISTENT,-12.768,0.239,CONSISTENT
4096,16,comm_only_c0_default:1115 < comm_only_c2_ring_simple_ch8:1304,comm_only_c0_default,1114.880,r1_event_overlap_c0_default:6337 < r1_event_overlap_c2_ring_simple_ch8:6346,r1_event_overlap_c0_default,6337.439,RCCL,RCCL,CONSISTENT,-16.927,-0.130,CONSISTENT
