case_id,path,family,candidate,M_local,N,K,q,rep,iterations,iteration_failures,status,t_release_first_max_us_p50,t_release_first_max_us_p05,t_release_first_max_us_p95,t_release_last_max_us_p50,t_release_last_max_us_p05,t_release_last_max_us_p95,t_done_max_us_p50,t_done_max_us_p05,t_done_max_us_p95,gemm_first_start_max_us_p50,gemm_first_start_max_us_p05,gemm_first_start_max_us_p95,gemm_last_end_max_us_p50,gemm_last_end_max_us_p05,gemm_last_end_max_us_p95,gemm_interval_max_us_p50,gemm_interval_max_us_p05,gemm_interval_max_us_p95,e2e_max_us_p50,e2e_max_us_p05,e2e_max_us_p95
case016_rs_C0_DEFAULT_N512_q2_rep1,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,269.280,268.160,275.360,918.639,912.961,933.439,924.719,918.881,939.519,281.839,280.480,292.800,1299.278,1293.440,1316.799,1018.320,1013.761,1029.601,1304.879,1299.040,1322.399
case017_rs_C0_DEFAULT_N512_q2_rep2,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,269.760,268.320,315.839,921.361,912.640,961.439,927.361,918.720,967.519,282.400,280.640,328.319,1303.840,1294.719,1336.319,1023.280,1014.559,1030.721,1309.440,1300.319,1341.919
case018_rs_C0_DEFAULT_N512_q2_rep3,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,272.959,269.600,289.598,923.520,917.599,946.241,929.600,923.680,952.161,285.760,282.400,303.840,1306.160,1295.680,1319.038,1021.680,1015.679,1029.921,1311.760,1301.439,1324.638
case019_rs_C0_DEFAULT_N512_q2_rep4,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,272.720,270.400,339.200,928.400,918.880,982.240,934.321,924.960,988.320,285.759,283.680,352.000,1309.840,1298.560,1364.639,1025.361,1016.480,1037.601,1315.440,1304.160,1370.239
case020_rs_C0_DEFAULT_N512_q2_rep5,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,269.839,268.480,276.800,922.959,914.720,933.600,928.959,920.960,939.679,282.480,280.960,290.560,1303.760,1294.560,1314.081,1022.561,1014.559,1031.679,1309.360,1300.160,1319.681
case021_r1_C0_DEFAULT_N512_q2_rep1,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,272.800,271.040,285.599,737.120,723.519,758.878,743.760,729.919,765.278,285.760,284.000,298.559,1242.799,1229.441,1274.879,957.679,947.201,983.679,1248.319,1234.881,1280.479
case022_r1_C0_DEFAULT_N512_q2_rep2,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,273.120,270.400,280.320,739.360,728.800,758.080,745.919,735.360,10081.752,286.320,283.360,295.998,1248.320,1233.599,10557.271,963.280,948.320,986.881,1253.999,1239.199,10562.872
case023_r1_C0_DEFAULT_N512_q2_rep3,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,270.640,269.440,279.680,734.160,717.121,748.320,740.801,723.681,754.720,283.520,282.400,295.040,1245.439,1229.919,1263.681,963.041,948.161,978.241,1251.039,1235.519,1269.121
case024_r1_C0_DEFAULT_N512_q2_rep4,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,272.000,270.079,275.839,733.361,719.199,743.839,740.161,726.079,750.719,285.280,283.040,290.078,1245.440,1229.919,1265.921,961.360,946.559,981.440,1251.040,1235.359,1271.521
case025_r1_C0_DEFAULT_N512_q2_rep5,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,273.440,270.240,277.121,735.361,722.561,752.960,742.081,729.281,759.840,286.720,283.200,290.720,1251.121,1231.519,1271.681,965.041,948.639,979.520,1256.800,1237.119,1277.121
case026_fc_C0_DEFAULT_N512_q2_rep1,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,3338.802,3284.002,3379.842,3338.802,3284.002,3379.842,3327.602,3272.802,3368.642,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3344.402,3289.602,3385.442
case027_fc_C0_DEFAULT_N512_q2_rep2,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,3334.079,3292.321,3371.998,3334.079,3292.321,3371.998,3322.720,3281.281,3360.802,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3339.840,3298.081,3377.758
case028_fc_C0_DEFAULT_N512_q2_rep3,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,3334.480,3284.317,3378.401,3334.480,3284.317,3378.401,3323.199,3273.277,3367.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3340.159,3289.917,3384.001
case029_fc_C0_DEFAULT_N512_q2_rep4,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,3334.637,3286.397,3372.158,3334.637,3286.397,3372.158,3323.118,3274.717,3360.638,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3340.398,3291.997,3377.758
case030_fc_C0_DEFAULT_N512_q2_rep5,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,3332.482,3287.518,3374.722,3332.482,3287.518,3374.722,3321.122,3276.638,3363.522,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3338.082,3293.278,3380.482
case031_dc_C0_DEFAULT_N512_q2_rep1,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,522.240,504.960,7984.474,972.561,944.961,11006.391,981.761,952.639,11013.751,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,987.441,957.441,11015.671
case032_dc_C0_DEFAULT_N512_q2_rep2,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,501.120,487.039,8864.807,912.159,883.519,10843.688,917.599,829.281,10848.967,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,926.399,899.200,10850.888
case033_dc_C0_DEFAULT_N512_q2_rep3,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,519.120,496.479,10467.204,944.399,917.919,10811.525,950.480,922.239,10819.845,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,952.799,925.599,10826.244
case034_dc_C0_DEFAULT_N512_q2_rep4,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,511.120,501.599,9531.044,959.920,941.440,10918.725,965.920,900.960,10927.685,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,972.801,952.801,10931.205
case035_dc_C0_DEFAULT_N512_q2_rep5,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,514.399,495.039,10399.686,930.559,889.600,10957.446,938.159,898.880,10964.806,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,944.639,902.880,10967.526
case036_d0_C0_DEFAULT_N512_q2_rep1,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,3320.001,3278.242,3363.842,3320.001,3278.242,3363.842,3325.919,3284.802,3370.562,3338.319,3296.797,3382.242,4011.602,3966.077,4053.437,672.080,662.560,684.159,4017.202,3971.677,4059.197
case037_d0_C0_DEFAULT_N512_q2_rep2,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,3321.601,3273.762,3364.001,3321.601,3273.762,3364.001,3327.841,3280.322,3370.561,3339.919,3292.318,3382.562,4013.517,3964.477,4054.722,676.721,667.679,686.081,4019.117,3970.077,4060.322
case038_d0_C0_DEFAULT_N512_q2_rep3,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,3323.037,3274.237,3362.237,3323.037,3274.237,3362.237,3329.437,3279.997,3368.317,3341.357,3291.997,3380.477,4006.236,3955.676,4051.523,670.479,652.480,684.480,4011.756,3961.276,4057.123
case039_d0_C0_DEFAULT_N512_q2_rep4,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,3317.520,3277.122,3368.002,3317.520,3277.122,3368.002,3324.322,3283.202,3374.557,3336.162,3295.522,3386.402,3998.239,3953.436,4047.362,659.840,650.560,674.720,4003.759,3959.036,4053.122
case040_d0_C0_DEFAULT_N512_q2_rep5,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,3316.322,3267.522,3363.038,3316.322,3267.522,3363.038,3322.482,3273.282,3370.238,3334.802,3285.762,3382.078,3992.002,3937.282,4039.202,660.159,649.761,675.520,3997.602,3942.882,4044.802
case041_ds_C0_DEFAULT_N512_q2_rep1,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,526.719,512.000,860.320,1432.639,1394.719,10884.006,1885.278,1840.159,12205.429,532.399,517.760,866.080,1810.958,1776.481,11261.446,1277.680,1225.441,10515.351,1886.720,1841.599,12207.349
case042_ds_C0_DEFAULT_N512_q2_rep2,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,536.559,513.760,603.838,1414.798,1367.521,10458.565,1880.240,1824.639,11900.487,543.200,519.360,610.238,1795.278,1746.400,10827.206,1261.039,1215.679,10283.046,1881.998,1826.719,11902.406
case043_ds_C0_DEFAULT_N512_q2_rep3,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,518.800,502.879,560.800,1403.119,1343.359,10480.647,1868.319,1811.519,11794.247,524.720,508.640,566.720,1790.159,1737.919,10853.927,1268.239,1223.519,10180.151,1870.639,1814.239,11795.687
case044_ds_C0_DEFAULT_N512_q2_rep4,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,511.600,503.200,5539.203,1403.840,1336.319,11820.805,1981.841,1794.399,16219.528,518.159,509.440,5546.083,1780.800,1722.399,12205.604,1264.159,1207.678,10890.726,1983.841,1800.318,16217.607
case045_ds_C0_DEFAULT_N512_q2_rep5,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,527.120,510.719,919.200,1427.199,1391.361,11159.045,1903.999,1839.041,14084.486,533.280,517.599,926.080,1809.041,1772.320,11527.988,1282.160,1249.599,10899.031,1906.479,1839.998,14090.726
case046_d1_C0_DEFAULT_N512_q2_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,529.279,511.359,558.080,1421.041,1387.841,11163.991,1889.678,1836.961,12618.709,535.039,517.119,563.680,1813.041,1770.721,11536.631,1279.520,1244.801,10436.164,1891.359,1839.201,12623.829
case047_d1_C0_DEFAULT_N512_q2_rep2,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,512.720,506.719,599.518,1415.759,1377.761,15037.426,1896.639,1829.121,16083.346,518.400,512.319,605.758,1809.761,1761.281,15405.746,1287.921,1245.440,10464.152,1898.479,1829.441,16081.905
case048_d1_C0_DEFAULT_N512_q2_rep3,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,515.679,505.920,573.440,1421.120,1385.921,10705.127,1877.919,1836.482,12345.431,521.360,511.680,579.040,1803.999,1770.881,11091.848,1280.160,1253.761,10444.472,1878.560,1839.041,12343.990
case049_d1_C0_DEFAULT_N512_q2_rep4,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,522.880,511.039,2241.121,1416.798,1385.279,11304.311,1872.800,1832.959,11877.605,528.560,516.639,2248.161,1794.958,1761.757,11678.711,1266.400,1234.399,10786.870,1871.600,1834.399,11875.685
case050_d1_C0_DEFAULT_N512_q2_rep5,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,517.439,510.559,7339.524,1425.438,1394.721,11136.470,2736.162,1850.718,11935.849,523.199,516.319,7346.404,1813.520,1780.318,11503.189,1290.240,1255.041,10416.952,2740.801,1854.721,11941.928
case051_d1w_C0_DEFAULT_N512_q2_rep1,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,526.560,512.800,2994.241,1438.159,1403.199,10892.646,1911.918,1874.079,11570.712,555.919,542.400,3040.641,1834.318,1804.639,11297.927,1282.800,1261.759,9708.964,1912.400,1872.799,11572.792
case052_d1w_C0_DEFAULT_N512_q2_rep2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,517.280,511.999,5739.843,1443.359,1412.639,11301.606,2903.682,1880.481,15604.329,547.360,541.920,5789.923,1841.118,1810.239,11702.887,1298.081,1267.841,10831.204,2905.681,1882.558,15606.249
case053_d1w_C0_DEFAULT_N512_q2_rep3,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,512.639,508.000,593.120,1401.600,1360.159,11310.072,1896.719,1843.999,14938.568,543.359,537.919,639.681,1806.080,1766.881,11718.393,1278.481,1249.441,10883.189,1901.839,1844.001,14936.648
case054_d1w_C0_DEFAULT_N512_q2_rep4,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,521.840,510.880,540.160,1406.079,1373.279,10574.887,1889.119,1844.478,11605.431,551.519,540.480,569.760,1810.320,1773.281,10994.405,1259.760,1239.040,10452.486,1889.678,1845.758,11607.511
case055_d1w_C0_DEFAULT_N512_q2_rep5,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,534.240,513.279,3745.437,1432.719,1379.041,11257.910,1910.558,1846.079,12035.350,563.919,542.879,3793.277,1835.838,1777.599,11653.430,1280.959,1231.679,10596.949,1912.638,1848.159,12039.830
case056_comm_C0_DEFAULT_N512_q4_rep1,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,4,1,80,0,PASS,161.200,158.881,166.560,613.200,607.840,625.600,619.041,613.600,632.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,624.640,619.200,638.240
case057_comm_C0_DEFAULT_N512_q4_rep2,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,4,2,80,0,PASS,162.959,160.800,172.480,614.480,609.601,637.439,620.321,615.521,644.799,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,626.081,621.279,651.519
case058_comm_C0_DEFAULT_N512_q4_rep3,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,4,3,80,0,PASS,161.040,158.880,165.120,611.201,606.721,616.321,617.120,612.481,622.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,622.720,618.241,627.841
case059_comm_C0_DEFAULT_N512_q4_rep4,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,4,4,80,0,PASS,162.560,160.161,169.120,614.560,608.960,636.001,620.400,615.200,642.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,626.081,620.961,648.001
case060_comm_C0_DEFAULT_N512_q4_rep5,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,4,5,80,0,PASS,162.640,160.159,4147.842,613.920,609.600,4598.402,620.000,615.680,4604.642,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,625.600,621.280,4610.562
case061_gemm_C0_DEFAULT_N512_q4_rep1,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,4,1,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,588.798,586.238,600.479,21.920,21.120,23.521,582.399,579.998,593.279,561.040,559.040,571.199,594.399,591.838,606.719
case062_gemm_C0_DEFAULT_N512_q4_rep2,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,4,2,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,590.560,588.159,650.399,24.800,24.000,26.558,584.800,582.398,644.319,560.239,557.759,617.599,596.320,593.759,656.319
case063_gemm_C0_DEFAULT_N512_q4_rep3,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,4,3,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,590.320,587.999,650.879,24.959,24.318,27.358,584.560,582.239,644.798,559.520,557.599,615.999,595.999,593.599,656.799
case064_gemm_C0_DEFAULT_N512_q4_rep4,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,4,4,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,590.159,587.680,639.519,25.120,24.160,26.560,584.399,581.760,633.439,559.919,558.080,606.559,595.760,593.280,645.439
case065_gemm_C0_DEFAULT_N512_q4_rep5,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,4,5,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,589.599,586.400,599.680,24.960,24.000,26.240,583.279,580.160,592.640,561.280,558.720,569.920,595.200,592.160,606.080
case066_r0_C0_DEFAULT_N512_q4_rep1,R0_FULL_SERIAL,RCCL,C0_DEFAULT,2048,512,2048,4,1,80,0,PASS,513.200,506.880,3462.402,513.200,506.880,3462.402,520.000,513.921,3469.122,532.000,525.760,3480.642,1204.560,1190.399,4154.563,676.160,666.080,684.800,1210.160,1195.999,4160.163
case067_r0_C0_DEFAULT_N512_q4_rep2,R0_FULL_SERIAL,RCCL,C0_DEFAULT,2048,512,2048,4,2,80,0,PASS,517.440,511.520,3261.757,517.440,511.520,3261.757,524.480,518.400,3267.997,536.239,530.239,3279.517,1206.399,1193.119,3955.197,674.479,664.641,685.600,1211.999,1198.719,3960.797
case068_r0_C0_DEFAULT_N512_q4_rep3,R0_FULL_SERIAL,RCCL,C0_DEFAULT,2048,512,2048,4,3,80,0,PASS,514.800,509.439,528.480,514.800,509.439,528.480,522.080,516.159,536.960,534.080,527.840,551.840,1204.079,1188.160,1233.599,674.960,662.561,687.360,1209.599,1193.919,1239.199
case069_r0_C0_DEFAULT_N512_q4_rep4,R0_FULL_SERIAL,RCCL,C0_DEFAULT,2048,512,2048,4,4,80,0,PASS,514.160,508.799,522.880,514.160,508.799,522.880,520.880,515.039,529.760,532.801,527.040,541.600,1199.280,1188.002,1221.280,671.920,663.519,682.559,1204.719,1193.602,1226.880
case070_r0_C0_DEFAULT_N512_q4_rep5,R0_FULL_SERIAL,RCCL,C0_DEFAULT,2048,512,2048,4,5,80,0,PASS,515.120,509.600,523.519,515.120,509.600,523.519,522.320,516.480,530.719,534.559,528.160,542.719,1196.881,1184.640,1214.880,667.841,654.400,679.840,1202.401,1190.240,1220.640
case071_rs_C0_DEFAULT_N512_q4_rep1,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,2048,512,2048,4,1,80,0,PASS,163.840,161.120,8373.913,1077.760,1072.001,9945.125,1084.159,1078.399,9951.205,176.480,173.920,8386.553,1226.319,1220.799,10091.525,1049.840,1045.920,1055.039,1232.399,1226.879,10097.285
case072_rs_C0_DEFAULT_N512_q4_rep2,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,2048,512,2048,4,2,80,0,PASS,163.360,160.480,8653.752,1078.560,1071.519,9566.871,1084.720,1077.600,9572.791,175.760,173.440,8665.752,1226.320,1219.520,9712.631,1051.280,1046.079,1057.120,1232.079,1225.119,9718.231
case073_rs_C0_DEFAULT_N512_q4_rep3,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,2048,512,2048,4,3,80,0,PASS,162.080,160.160,165.600,1074.560,1070.721,1081.280,1080.560,1076.959,1087.360,174.720,172.480,178.560,1222.320,1218.081,1228.960,1049.040,1044.800,1054.560,1227.841,1223.839,1234.560
case074_rs_C0_DEFAULT_N512_q4_rep4,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,2048,512,2048,4,4,80,0,PASS,165.040,162.240,2750.081,1080.720,1076.160,7653.443,1087.119,1082.560,7659.843,177.760,174.880,2762.401,1229.280,1223.999,7800.803,1052.879,1047.839,1058.240,1235.360,1230.079,7806.883
case075_rs_C0_DEFAULT_N512_q4_rep5,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,2048,512,2048,4,5,80,0,PASS,165.199,162.398,7207.675,1082.399,1077.280,8131.354,1088.800,1083.679,8137.754,178.240,175.200,7220.635,1230.799,1225.920,8279.994,1053.199,1049.280,1062.560,1237.039,1232.159,8286.234
case076_r1_C0_DEFAULT_N512_q4_rep1,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,2048,512,2048,4,1,80,0,PASS,165.440,162.720,8864.645,778.081,767.041,9508.006,784.320,773.441,9514.404,178.160,175.360,8877.285,990.641,977.921,9721.605,810.561,800.799,819.681,996.241,983.521,9727.045
case077_r1_C0_DEFAULT_N512_q4_rep2,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,2048,512,2048,4,2,80,0,PASS,167.840,164.960,8413.432,777.919,764.161,9023.032,784.320,771.041,9029.912,180.560,176.798,8425.912,989.120,976.641,9230.872,808.560,797.121,823.839,995.039,982.561,9236.792
case078_r1_C0_DEFAULT_N512_q4_rep3,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,2048,512,2048,4,3,80,0,PASS,164.960,162.400,8880.152,772.479,761.920,9472.634,778.880,768.000,9478.713,177.920,175.040,8891.833,983.120,971.840,9686.393,806.720,797.439,817.441,988.958,977.440,9691.993
case079_r1_C0_DEFAULT_N512_q4_rep4,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,2048,512,2048,4,4,80,0,PASS,162.800,159.840,5735.675,770.560,760.961,6337.915,776.560,767.041,6343.995,175.520,172.640,5748.475,980.720,973.439,6553.915,806.639,798.720,817.440,986.320,979.039,6559.515
