case	collective	size	config	channels	visible_devices	exit_status	log	csv
preflight_r1_allgather_4K_default_chdefault	allgather	4K	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T100731Z/logs/preflight_r1_allgather_4K_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T100731Z/csv/preflight_r1_allgather_4K_default_chdefault.csv
preflight_r1_allgather_1M_default_chdefault	allgather	1M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T100731Z/logs/preflight_r1_allgather_1M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T100731Z/csv/preflight_r1_allgather_1M_default_chdefault.csv
preflight_r1_allgather_64M_default_chdefault	allgather	64M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T100731Z/logs/preflight_r1_allgather_64M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T100731Z/csv/preflight_r1_allgather_64M_default_chdefault.csv
preflight_r1_allreduce_4K_default_chdefault	allreduce	4K	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T100731Z/logs/preflight_r1_allreduce_4K_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T100731Z/csv/preflight_r1_allreduce_4K_default_chdefault.csv
preflight_r1_allreduce_1M_default_chdefault	allreduce	1M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T100731Z/logs/preflight_r1_allreduce_1M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T100731Z/csv/preflight_r1_allreduce_1M_default_chdefault.csv
preflight_r1_allreduce_64M_default_chdefault	allreduce	64M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T100731Z/logs/preflight_r1_allreduce_64M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T100731Z/csv/preflight_r1_allreduce_64M_default_chdefault.csv
preflight_r1_reducescatter_4K_default_chdefault	reducescatter	4K	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T100731Z/logs/preflight_r1_reducescatter_4K_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T100731Z/csv/preflight_r1_reducescatter_4K_default_chdefault.csv
preflight_r1_reducescatter_1M_default_chdefault	reducescatter	1M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T100731Z/logs/preflight_r1_reducescatter_1M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T100731Z/csv/preflight_r1_reducescatter_1M_default_chdefault.csv
preflight_r1_reducescatter_64M_default_chdefault	reducescatter	64M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T100731Z/logs/preflight_r1_reducescatter_64M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T100731Z/csv/preflight_r1_reducescatter_64M_default_chdefault.csv
