candidate,N,q,path,family,reps,t_done_p50_us,e2e_p50_us,release_last_p50_us,e2e_p05_us,e2e_p95_us,release_gap_us,comm_compute_overlap_us,e2e_p50_stdev_us
C0_DEFAULT,4096,32,D0_FCOLLECT_SERIAL,DUSHMEM,5,7121.757,15172.303,7115.438,15150.469,15185.031,8050.546,8050.546,12.707
C0_DEFAULT,4096,32,D1_PUSHSIG_OVERLAP,DUSHMEM,5,53889.027,53895.188,52500.328,53531.484,55770.575,6.160,6.160,799.807
C0_DEFAULT,8192,8,D0_FCOLLECT_SERIAL,DUSHMEM,5,7149.758,18829.663,7143.598,18817.984,18834.699,11679.905,11679.905,5.811
C0_DEFAULT,8192,8,D1_PUSHSIG_OVERLAP,DUSHMEM,5,19049.508,19053.908,17242.383,18964.611,19107.595,4.400,4.400,53.291
C0_DEFAULT,8192,16,D0_FCOLLECT_SERIAL,DUSHMEM,5,7150.950,18826.778,7144.635,18826.061,18839.508,11675.827,11675.827,5.870
C0_DEFAULT,8192,16,D1_PUSHSIG_OVERLAP,DUSHMEM,5,23741.754,23753.432,22751.593,23481.895,23854.855,11.678,11.678,135.751
