candidate,N,q,path,family,reps,t_done_p50_us,e2e_p50_us,release_last_p50_us,e2e_p05_us,e2e_p95_us,release_gap_us,comm_compute_overlap_us,e2e_p50_stdev_us
C0_DEFAULT,512,2,COMM_ONLY,RCCL,5,1111.120,1117.279,1104.720,1115.519,1118.880,6.159,6.159,1.130
C0_DEFAULT,512,2,D0_FCOLLECT_SERIAL,DUSHMEM,5,7070.394,7848.557,7064.234,7839.199,7856.475,778.163,778.163,5.565
C0_DEFAULT,512,2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,5151.357,5156.877,4131.517,5033.199,6077.517,5.520,5.520,387.836
C0_DEFAULT,512,2,D1_PUSHSIG_OVERLAP,DUSHMEM,5,5327.038,5333.198,4262.479,5118.238,5866.157,6.160,6.160,287.470
C0_DEFAULT,512,2,DC_PUSHSIG_ONLY,DUSHMEM,5,3874.159,3911.118,3895.838,3797.678,5575.360,36.959,36.959,683.387
C0_DEFAULT,512,2,DS_PUSHSIG_SERIAL,DUSHMEM,5,5262.877,5266.797,4295.200,5093.918,5999.838,3.920,3.920,315.816
C0_DEFAULT,512,2,FC_FCOLLECT_ONLY,DUSHMEM,5,7070.238,7087.917,7081.997,7070.399,7122.795,17.679,17.679,17.852
C0_DEFAULT,512,2,GEMM_ONLY,RCCL,5,1554.159,1560.560,0.000,1558.880,1561.280,6.401,6.401,0.892
C0_DEFAULT,512,2,R0_FULL_SERIAL,RCCL,5,1080.400,1858.399,1073.760,1857.439,1859.360,777.999,777.999,0.691
C0_DEFAULT,512,2,R1_EVENT_OVERLAP,RCCL,5,1447.439,2380.720,1440.239,2378.479,2383.359,933.281,933.281,1.747
C0_DEFAULT,512,2,RS_SLICE_SERIAL,RCCL,5,1870.399,2624.559,1864.320,2620.639,2628.479,754.159,754.159,2.606
C0_DEFAULT,512,4,COMM_ONLY,RCCL,5,1215.199,1221.599,1208.639,1219.039,1226.159,6.400,6.400,2.353
C0_DEFAULT,512,4,D0_FCOLLECT_SERIAL,DUSHMEM,5,7077.119,7856.078,7071.118,7854.081,7859.199,778.959,778.959,1.971
C0_DEFAULT,512,4,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,12680.397,12684.797,10084.475,12279.673,13708.796,4.400,4.400,483.067
C0_DEFAULT,512,4,D1_PUSHSIG_OVERLAP,DUSHMEM,5,12233.516,12241.117,9806.875,11517.275,13044.714,7.601,7.601,564.997
C0_DEFAULT,512,4,DC_PUSHSIG_ONLY,DUSHMEM,5,5272.797,6525.519,6516.799,6393.680,7315.838,1252.722,1252.722,333.194
C0_DEFAULT,512,4,DS_PUSHSIG_SERIAL,DUSHMEM,5,12217.034,12221.434,9894.476,11585.676,13182.717,4.400,4.400,531.894
C0_DEFAULT,512,4,FC_FCOLLECT_ONLY,DUSHMEM,5,7065.357,7082.718,7077.038,7078.557,7086.795,17.361,17.361,2.966
C0_DEFAULT,512,4,GEMM_ONLY,RCCL,5,1584.562,1591.202,0.000,1586.083,1597.361,6.639,6.639,4.348
C0_DEFAULT,512,4,R0_FULL_SERIAL,RCCL,5,1080.880,1858.961,1074.160,1858.639,1860.081,778.081,778.081,0.517
C0_DEFAULT,512,4,R1_EVENT_OVERLAP,RCCL,5,1779.679,2359.359,1772.959,2357.200,2361.840,579.679,579.679,1.728
C0_DEFAULT,512,4,RS_SLICE_SERIAL,RCCL,5,2398.881,2786.800,2392.640,2777.999,2787.117,387.919,387.919,3.970
C0_DEFAULT,512,8,COMM_ONLY,RCCL,5,1441.040,1447.120,1435.200,1443.999,1452.318,6.080,6.080,3.591
C0_DEFAULT,512,8,D0_FCOLLECT_SERIAL,DUSHMEM,5,7070.475,7848.799,7063.915,7842.238,7857.115,778.324,778.324,5.036
C0_DEFAULT,512,8,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,16851.752,16858.310,16443.274,16577.515,16916.796,6.558,6.558,121.181
C0_DEFAULT,512,8,D1_PUSHSIG_OVERLAP,DUSHMEM,5,16668.957,16672.958,16324.955,16460.952,16890.076,4.001,4.001,139.008
C0_DEFAULT,512,8,DC_PUSHSIG_ONLY,DUSHMEM,5,13968.788,14345.922,14332.882,14001.922,14518.004,377.134,377.134,175.046
C0_DEFAULT,512,8,DS_PUSHSIG_SERIAL,DUSHMEM,5,16763.916,16765.672,16467.833,16513.436,16816.236,1.756,1.756,110.911
C0_DEFAULT,512,8,FC_FCOLLECT_ONLY,DUSHMEM,5,7061.521,7078.641,7073.041,7073.921,7086.888,17.120,17.120,4.503
C0_DEFAULT,512,8,GEMM_ONLY,RCCL,5,1223.760,1229.679,0.000,1226.240,1232.079,5.919,5.919,1.900
C0_DEFAULT,512,8,R0_FULL_SERIAL,RCCL,5,1080.880,1858.720,1073.840,1857.439,1859.198,777.840,777.840,0.591
C0_DEFAULT,512,8,R1_EVENT_OVERLAP,RCCL,5,1963.604,2137.686,1946.080,2130.417,2140.079,174.082,174.082,3.511
C0_DEFAULT,512,8,RS_SLICE_SERIAL,RCCL,5,2551.280,2703.040,2544.960,2702.879,2708.477,151.760,151.760,2.154
C0_DEFAULT,2048,2,COMM_ONLY,RCCL,5,1178.561,1184.639,1172.480,1182.879,1186.800,6.079,6.079,1.274
C0_DEFAULT,2048,2,D0_FCOLLECT_SERIAL,DUSHMEM,5,7093.293,10114.407,7086.413,10104.966,10133.131,3021.114,3021.114,10.423
C0_DEFAULT,2048,2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,6789.917,6795.437,5053.119,6728.479,6842.158,5.520,5.520,41.440
C0_DEFAULT,2048,2,D1_PUSHSIG_OVERLAP,DUSHMEM,5,6757.359,6758.719,5054.639,6598.157,6842.078,1.360,1.360,87.346
C0_DEFAULT,2048,2,DC_PUSHSIG_ONLY,DUSHMEM,5,4022.485,4115.600,4098.560,3993.613,5645.758,93.115,93.115,640.963
C0_DEFAULT,2048,2,DS_PUSHSIG_SERIAL,DUSHMEM,5,6735.047,6741.766,5019.119,6540.639,6754.405,6.720,6.720,79.834
C0_DEFAULT,2048,2,FC_FCOLLECT_ONLY,DUSHMEM,5,7090.558,7107.679,7102.077,7103.516,7137.041,17.121,17.121,12.287
C0_DEFAULT,2048,2,GEMM_ONLY,RCCL,5,3380.800,3387.200,0.000,3384.319,3388.717,6.400,6.400,1.695
C0_DEFAULT,2048,2,R0_FULL_SERIAL,RCCL,5,1126.479,4117.358,1119.599,4105.520,4124.639,2990.879,2990.879,6.623
C0_DEFAULT,2048,2,R1_EVENT_OVERLAP,RCCL,5,1517.919,4384.319,1511.199,4382.477,4386.318,2866.400,2866.400,1.481
C0_DEFAULT,2048,2,RS_SLICE_SERIAL,RCCL,5,2767.840,4351.838,2761.680,4347.600,4352.959,1583.998,1583.998,2.119
C0_DEFAULT,2048,4,COMM_ONLY,RCCL,5,1269.840,1276.320,1263.280,1270.320,1283.200,6.479,6.479,4.247
C0_DEFAULT,2048,4,D0_FCOLLECT_SERIAL,DUSHMEM,5,7094.077,10121.278,7088.398,10090.798,10142.396,3027.200,3027.200,18.663
C0_DEFAULT,2048,4,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,7440.158,7445.599,6414.879,7293.519,7555.999,5.440,5.440,83.778
C0_DEFAULT,2048,4,D1_PUSHSIG_OVERLAP,DUSHMEM,5,7257.597,7264.318,6264.000,7246.478,7444.398,6.720,6.720,92.129
C0_DEFAULT,2048,4,DC_PUSHSIG_ONLY,DUSHMEM,5,5129.436,6597.358,6585.358,6381.758,7811.916,1467.921,1467.921,594.941
C0_DEFAULT,2048,4,DS_PUSHSIG_SERIAL,DUSHMEM,5,7341.995,7352.155,6328.879,7139.758,7429.278,10.160,10.160,99.017
C0_DEFAULT,2048,4,FC_FCOLLECT_ONLY,DUSHMEM,5,7091.760,7108.800,7103.120,7104.396,7117.835,17.040,17.040,5.383
C0_DEFAULT,2048,4,GEMM_ONLY,RCCL,5,3612.001,3618.401,0.000,3613.680,3624.480,6.400,6.400,4.073
C0_DEFAULT,2048,4,R0_FULL_SERIAL,RCCL,5,1126.159,4124.800,1119.360,4104.240,4127.999,2998.640,2998.640,10.093
C0_DEFAULT,2048,4,R1_EVENT_OVERLAP,RCCL,5,1761.679,4301.439,1754.719,4300.239,4303.519,2539.760,2539.760,1.125
C0_DEFAULT,2048,4,RS_SLICE_SERIAL,RCCL,5,3849.519,4702.878,3843.279,4693.040,4704.560,853.359,853.359,4.966
C0_DEFAULT,2048,8,COMM_ONLY,RCCL,5,1495.600,1501.680,1489.439,1494.880,1509.440,6.081,6.081,5.436
C0_DEFAULT,2048,8,D0_FCOLLECT_SERIAL,DUSHMEM,5,7091.198,10134.560,7084.398,10105.916,10142.719,3043.363,3043.363,14.565
C0_DEFAULT,2048,8,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,17415.994,17421.672,12408.317,14380.158,19366.080,5.678,5.678,1729.746
C0_DEFAULT,2048,8,D1_PUSHSIG_OVERLAP,DUSHMEM,5,15688.077,15688.157,11537.676,13992.316,18158.238,0.080,0.080,1447.823
C0_DEFAULT,2048,8,DC_PUSHSIG_ONLY,DUSHMEM,5,9527.358,14490.154,14477.593,14248.075,14574.880,4962.796,4962.796,110.681
C0_DEFAULT,2048,8,DS_PUSHSIG_SERIAL,DUSHMEM,5,16960.155,16967.357,11791.837,14158.159,18155.440,7.202,7.202,1476.422
C0_DEFAULT,2048,8,FC_FCOLLECT_ONLY,DUSHMEM,5,7086.959,7103.679,7097.919,7094.875,7107.360,16.720,16.720,4.908
C0_DEFAULT,2048,8,GEMM_ONLY,RCCL,5,5986.719,5993.119,0.000,5987.440,5993.360,6.400,6.400,2.277
C0_DEFAULT,2048,8,R0_FULL_SERIAL,RCCL,5,1126.959,4128.159,1120.159,4108.798,4132.959,3001.200,3001.200,8.486
C0_DEFAULT,2048,8,R1_EVENT_OVERLAP,RCCL,5,3040.319,6618.480,3032.799,6600.396,6623.276,3578.161,3578.161,8.382
C0_DEFAULT,2048,8,RS_SLICE_SERIAL,RCCL,5,6632.956,7359.440,6626.716,7358.235,7373.199,726.484,726.484,5.539
C0_DEFAULT,2048,16,COMM_ONLY,RCCL,5,1872.479,1878.159,1866.639,1877.840,1880.480,5.680,5.680,1.142
C0_DEFAULT,2048,16,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,30311.348,30319.028,28325.434,29871.596,32177.279,7.680,7.680,882.652
C0_DEFAULT,2048,16,D1_PUSHSIG_OVERLAP,DUSHMEM,5,29441.192,29448.471,26875.919,28543.270,29995.032,7.279,7.279,509.711
C0_DEFAULT,2048,16,DC_PUSHSIG_ONLY,DUSHMEM,5,17303.194,17446.151,17433.510,17346.947,17593.425,142.957,142.957,87.808
C0_DEFAULT,2048,16,DS_PUSHSIG_SERIAL,DUSHMEM,5,29439.510,29448.711,26442.626,29084.627,30407.268,9.200,9.200,449.431
C0_DEFAULT,2048,16,GEMM_ONLY,RCCL,5,6086.002,6092.322,0.000,6084.006,6134.322,6.320,6.320,18.400
C0_DEFAULT,2048,16,R1_EVENT_OVERLAP,RCCL,5,3543.276,6819.592,3535.836,6805.187,6837.113,3276.316,3276.316,10.439
C0_DEFAULT,2048,16,RS_SLICE_SERIAL,RCCL,5,7584.237,7951.996,7577.997,7943.111,7974.394,367.759,367.759,12.220
C0_DEFAULT,4096,2,COMM_ONLY,RCCL,5,1216.959,1223.200,1210.639,1221.039,1225.280,6.241,6.241,1.455
C0_DEFAULT,4096,2,D0_FCOLLECT_SERIAL,DUSHMEM,5,7126.879,15167.437,7120.396,15147.917,15190.559,8040.558,8040.558,14.058
C0_DEFAULT,4096,2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,11733.195,11736.555,7443.757,11664.557,11793.756,3.360,3.360,47.702
C0_DEFAULT,4096,2,D1_PUSHSIG_OVERLAP,DUSHMEM,5,11657.356,11659.837,7434.157,11567.352,11799.198,2.480,2.480,74.457
C0_DEFAULT,4096,2,DC_PUSHSIG_ONLY,DUSHMEM,5,4125.757,4156.639,4143.439,3958.799,5205.440,30.881,30.881,439.557
C0_DEFAULT,4096,2,DS_PUSHSIG_SERIAL,DUSHMEM,5,11556.318,11561.998,7350.239,11523.676,11748.233,5.680,5.680,80.515
C0_DEFAULT,4096,2,FC_FCOLLECT_ONLY,DUSHMEM,5,7114.397,7131.596,7125.836,7129.677,7148.637,17.199,17.199,6.946
C0_DEFAULT,4096,2,GEMM_ONLY,RCCL,5,8713.279,8719.599,0.000,8661.917,8742.796,6.319,6.319,27.999
C0_DEFAULT,4096,2,R0_FULL_SERIAL,RCCL,5,1175.199,9157.035,1168.160,9116.558,9218.719,7981.836,7981.836,40.030
C0_DEFAULT,4096,2,R1_EVENT_OVERLAP,RCCL,5,1600.799,9425.356,1593.920,9402.876,9449.118,7824.557,7824.557,16.305
C0_DEFAULT,4096,2,RS_SLICE_SERIAL,RCCL,5,5337.758,9432.555,5331.599,9401.274,9482.559,4094.797,4094.797,29.712
C0_DEFAULT,4096,4,COMM_ONLY,RCCL,5,1317.360,1323.521,1311.039,1323.119,1326.000,6.161,6.161,1.251
C0_DEFAULT,4096,4,D0_FCOLLECT_SERIAL,DUSHMEM,5,7121.354,15180.479,7115.033,15148.794,15204.318,8059.125,8059.125,18.213
C0_DEFAULT,4096,4,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,11129.719,11138.121,9147.235,11064.698,11172.128,8.401,8.401,43.100
C0_DEFAULT,4096,4,D1_PUSHSIG_OVERLAP,DUSHMEM,5,11003.710,11011.307,9072.476,10955.280,11062.157,7.597,7.597,36.515
C0_DEFAULT,4096,4,DC_PUSHSIG_ONLY,DUSHMEM,5,5885.599,7272.318,7259.918,6274.399,7981.280,1386.720,1386.720,629.870
C0_DEFAULT,4096,4,DS_PUSHSIG_SERIAL,DUSHMEM,5,11040.424,11046.104,9061.618,10958.393,11111.036,5.680,5.680,62.033
C0_DEFAULT,4096,4,FC_FCOLLECT_ONLY,DUSHMEM,5,7117.998,7134.798,7129.119,7124.079,7143.520,16.801,16.801,6.459
C0_DEFAULT,4096,4,GEMM_ONLY,RCCL,5,7738.479,7744.959,0.000,7693.921,7828.399,6.480,6.480,45.312
C0_DEFAULT,4096,4,R0_FULL_SERIAL,RCCL,5,1175.999,9177.356,1168.720,9146.799,9187.599,8001.357,8001.357,16.324
C0_DEFAULT,4096,4,R1_EVENT_OVERLAP,RCCL,5,2125.039,8412.798,2116.880,8377.115,8449.037,6287.758,6287.758,24.559
C0_DEFAULT,4096,4,RS_SLICE_SERIAL,RCCL,5,6845.516,8674.000,6839.516,8593.593,8739.915,1828.484,1828.484,50.031
C0_DEFAULT,4096,8,COMM_ONLY,RCCL,5,1560.720,1567.044,1554.240,1561.441,1569.921,6.324,6.324,2.764
C0_DEFAULT,4096,8,D0_FCOLLECT_SERIAL,DUSHMEM,5,7126.640,15180.476,7119.520,15150.476,15185.354,8053.836,8053.836,12.971
C0_DEFAULT,4096,8,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,12951.674,12958.155,11932.396,12811.997,13151.676,6.481,6.481,118.870
C0_DEFAULT,4096,8,D1_PUSHSIG_OVERLAP,DUSHMEM,5,12733.918,12739.437,11739.597,12702.792,12787.756,5.519,5.519,34.311
C0_DEFAULT,4096,8,DC_PUSHSIG_ONLY,DUSHMEM,5,10158.720,14342.633,14333.754,12199.198,14551.043,4183.913,4183.913,885.258
C0_DEFAULT,4096,8,DS_PUSHSIG_SERIAL,DUSHMEM,5,12728.158,12732.070,11728.557,12710.242,12812.876,3.913,3.913,35.777
C0_DEFAULT,4096,8,FC_FCOLLECT_ONLY,DUSHMEM,5,7118.398,7135.678,7129.918,7131.678,7139.439,17.280,17.280,3.158
C0_DEFAULT,4096,8,GEMM_ONLY,RCCL,5,7393.843,7400.163,0.000,7361.604,7446.483,6.320,6.320,29.829
C0_DEFAULT,4096,8,R0_FULL_SERIAL,RCCL,5,1173.520,9149.523,1166.480,9101.763,9172.800,7976.003,7976.003,25.489
C0_DEFAULT,4096,8,R1_EVENT_OVERLAP,RCCL,5,2776.801,8375.922,2769.120,8322.001,8393.599,5599.121,5599.121,24.799
C0_DEFAULT,4096,8,RS_SLICE_SERIAL,RCCL,5,7782.318,8642.637,7776.077,8609.440,8755.441,860.319,860.319,53.190
C0_DEFAULT,4096,16,COMM_ONLY,RCCL,5,1918.398,1923.999,1912.479,1922.639,1925.999,5.601,5.601,1.328
C0_DEFAULT,4096,16,R1_EVENT_OVERLAP,RCCL,5,4222.236,12260.238,4215.197,12254.789,12265.192,8038.002,8038.002,3.716
C2_RING_SIMPLE_CH8,512,2,COMM_ONLY,RCCL,5,1347.120,1353.440,1340.480,1352.640,1353.760,6.320,6.320,0.419
C2_RING_SIMPLE_CH8,512,2,R1_EVENT_OVERLAP,RCCL,5,1802.800,2553.198,1796.720,2552.479,2557.039,750.399,750.399,1.684
C2_RING_SIMPLE_CH8,512,4,COMM_ONLY,RCCL,5,1482.719,1488.960,1476.160,1485.360,1491.280,6.241,6.241,2.090
C2_RING_SIMPLE_CH8,512,4,R1_EVENT_OVERLAP,RCCL,5,2183.041,2566.800,2176.640,2556.880,2571.439,383.758,383.758,5.645
C2_RING_SIMPLE_CH8,512,8,COMM_ONLY,RCCL,5,1767.280,1773.599,1760.720,1768.000,1776.799,6.320,6.320,2.898
C2_RING_SIMPLE_CH8,512,8,R1_EVENT_OVERLAP,RCCL,5,2181.278,2332.079,2174.959,2325.280,2358.399,150.800,150.800,11.587
C2_RING_SIMPLE_CH8,2048,2,COMM_ONLY,RCCL,5,1405.360,1411.840,1398.880,1411.601,1412.720,6.479,6.479,0.400
C2_RING_SIMPLE_CH8,2048,2,R1_EVENT_OVERLAP,RCCL,5,2121.040,4283.118,2114.240,4282.159,4284.079,2162.078,2162.078,0.675
C2_RING_SIMPLE_CH8,2048,4,COMM_ONLY,RCCL,5,1535.043,1541.443,1528.483,1540.560,1543.360,6.400,6.400,1.008
C2_RING_SIMPLE_CH8,2048,4,R1_EVENT_OVERLAP,RCCL,5,2506.488,4292.568,2484.245,4283.132,4296.170,1786.081,1786.081,4.516
C2_RING_SIMPLE_CH8,2048,8,COMM_ONLY,RCCL,5,1809.528,1815.848,1802.968,1807.209,1817.289,6.320,6.320,3.651
C2_RING_SIMPLE_CH8,2048,8,R1_EVENT_OVERLAP,RCCL,5,3372.249,6619.541,3365.129,6616.978,6634.106,3247.292,3247.292,6.158
C2_RING_SIMPLE_CH8,4096,2,COMM_ONLY,RCCL,5,1462.402,1468.722,1456.002,1464.885,1470.082,6.320,6.320,1.762
C2_RING_SIMPLE_CH8,4096,2,R1_EVENT_OVERLAP,RCCL,5,2286.482,9332.809,2278.802,9287.767,9358.086,7046.327,7046.327,23.509
C2_RING_SIMPLE_CH8,4096,4,COMM_ONLY,RCCL,5,1582.401,1588.801,1575.841,1586.722,1589.121,6.400,6.400,0.897
