case	collective	size	config	channels	visible_devices	exit_status	log	csv
map_0123_r1_allgather_1M_default_chdefault	allgather	1M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/logs/map_0123_r1_allgather_1M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/csv/map_0123_r1_allgather_1M_default_chdefault.csv
map_0123_r2_allgather_1M_default_chdefault	allgather	1M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/logs/map_0123_r2_allgather_1M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/csv/map_0123_r2_allgather_1M_default_chdefault.csv
map_0123_r3_allgather_1M_default_chdefault	allgather	1M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/logs/map_0123_r3_allgather_1M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/csv/map_0123_r3_allgather_1M_default_chdefault.csv
map_0123_r1_allgather_64M_default_chdefault	allgather	64M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/logs/map_0123_r1_allgather_64M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/csv/map_0123_r1_allgather_64M_default_chdefault.csv
map_0123_r2_allgather_64M_default_chdefault	allgather	64M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/logs/map_0123_r2_allgather_64M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/csv/map_0123_r2_allgather_64M_default_chdefault.csv
map_0123_r3_allgather_64M_default_chdefault	allgather	64M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/logs/map_0123_r3_allgather_64M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/csv/map_0123_r3_allgather_64M_default_chdefault.csv
map_0123_r1_allreduce_1M_default_chdefault	allreduce	1M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/logs/map_0123_r1_allreduce_1M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/csv/map_0123_r1_allreduce_1M_default_chdefault.csv
map_0123_r2_allreduce_1M_default_chdefault	allreduce	1M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/logs/map_0123_r2_allreduce_1M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/csv/map_0123_r2_allreduce_1M_default_chdefault.csv
map_0123_r3_allreduce_1M_default_chdefault	allreduce	1M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/logs/map_0123_r3_allreduce_1M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/csv/map_0123_r3_allreduce_1M_default_chdefault.csv
map_0123_r1_allreduce_64M_default_chdefault	allreduce	64M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/logs/map_0123_r1_allreduce_64M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T104241Z/csv/map_0123_r1_allreduce_64M_default_chdefault.csv
