N,q,cols,tag,n_d0_reps,n_d1_reps,d0_p50_us,d1_p50_us,P_meas_pt,P_fit_pt,residual_pt,verdict
4096,32,128,E3,5,5,18770.093,41740.188,122.376,191.700,-69.324,HIT(q爆炸延续到q32)
8192,8,1024,E1,5,5,21972.480,19302.465,-12.152,-63.900,51.748,MISS
8192,16,512,E2,5,5,22060.622,23076.346,4.604,-6.500,11.104,HIT(带内)
