np,N,q,oracle_us,oracle_path,regret_r0_pct,regret_r1_pct,regret_d0_pct,regret_d1_pct,probe1iter_pick,probe1iter_regret_pct,probeK3_pick,probeK3_regret_pct
4,512,2,1206.319,r0,0.0,3.707228353362585,232.56178506680243,56.78759101033807,r0,0.0,r0,0.0
4,512,4,988.9585,r1,22.31033961485746,0.0,305.88978202826513,107.48277101617506,r1,0.0,r1,0.0
4,512,8,1203.9195,r0,0.0,6.625069201055394,233.4042683086369,168.36354091781055,r0,0.0,r0,0.0
4,2048,2,1898.3184999999999,r0,0.0,17.969666312581385,147.46124003954026,47.637896380401926,r0,0.0,r0,0.0
4,2048,4,1898.1595,r0,0.0,73.88623031942258,147.76434751663388,128.67185291857717,r0,0.0,r0,0.0
4,2048,8,1899.1195,r0,0.0,79.93612302964613,147.57554751030676,489.464722993998,r0,0.0,r0,0.0
4,4096,2,4326.4825,r0,0.0,0.9078159913971672,66.18027462262936,10.552533149041974,r0,0.0,r1,0.9078159913971672
4,4096,4,4099.522,r1,7.138393207793501,0.0,75.20464580992613,23.15961470629991,r1,0.0,r1,0.0
4,4096,8,4360.957,r0,0.0,39.062951090781226,64.91983296326927,88.41719833513605,r0,0.0,r0,0.0
8,512,2,1858.3995,r0,0.0,28.105932013003677,322.3288372602339,186.9780152222383,r0,0.0,r0,0.0
8,512,4,1858.9605000000001,r0,0.0,26.91816205884956,322.60596715207225,558.4925822791824,r0,0.0,r0,0.0
8,512,8,1858.72,r0,0.0,15.008527373676495,322.26903460445897,797.0128905913747,r0,0.0,r0,0.0
8,2048,2,4117.358,r0,0.0,6.483793733748663,145.6528434010353,64.15184203073913,r0,0.0,r0,0.0
8,2048,4,4124.799999999999,r0,0.0,4.282353083785904,145.37620005818468,76.11321761055083,r0,0.0,r0,0.0
8,2048,8,4128.1595,r0,0.0,60.32520061300926,145.49827834898338,280.02787925224305,r0,0.0,r0,0.0
8,4096,2,9157.0355,r0,0.0,2.93021688077981,65.6369793477376,27.33200062400109,r0,0.0,r0,0.0
8,4096,4,8412.7975,r1,9.088047109180975,0.0,80.4450719276198,30.887585253300088,r1,0.0,r1,0.0
8,4096,8,8375.9215,r1,9.236022567785513,0.0,81.23946720369813,52.09594550283213,r1,0.0,r1,0.0
