N,q,pair,axis_note,metric,median_a_us,median_b_us,delta_pct_pos_a_faster,reps_a,reps_b,rep_direction_consistency,mw_p_all_iters,verdict
2048,16,r1_vs_rs,"overlap gain, RCCL",e2e_max_us,5830.1,8337.0,30.070,5,5,5/5,0.00e+00,SIG
2048,16,d1_vs_ds,INVALID if ds serial gate missing (bug): noise characterisation,e2e_max_us,23215.3,23128.6,-0.375,5,5,3/5,8.81e-01,NS
2048,16,r1_vs_d1,substrate gap under overlap,e2e_max_us,5830.1,23215.3,74.887,5,5,5/5,0.00e+00,SIG
4096,2,comm_C2_vs_C0,"resource axis, isolated",t_done_max_us,3899.8,4025.9,3.132,5,5,5/5,0.00e+00,SIG
4096,2,r1_C2_vs_C0,"resource axis, e2e (reversal core)",e2e_max_us,8464.6,8798.5,3.795,5,5,5/5,0.00e+00,SIG
4096,2,r1_vs_rs,"overlap gain, RCCL",e2e_max_us,8798.5,10968.6,19.785,5,5,5/5,0.00e+00,SIG
4096,2,r1_vs_r0,"overlap gain vs bulk, RCCL",e2e_max_us,8798.5,10833.7,18.786,5,5,5/5,0.00e+00,SIG
4096,2,d1_vs_d0,"release semantics flip, DUSHMEM",e2e_max_us,14423.6,18344.2,21.372,5,5,5/5,0.00e+00,SIG
4096,2,d1_vs_ds,INVALID if ds serial gate missing (bug): noise characterisation,e2e_max_us,14423.6,14431.0,0.052,5,5,3/5,9.73e-01,NS
4096,2,r1_vs_d1,substrate gap under overlap,e2e_max_us,8798.5,14423.6,38.999,5,5,5/5,0.00e+00,SIG
4096,4,comm_C2_vs_C0,"resource axis, isolated",t_done_max_us,3995.0,4082.9,2.154,5,5,5/5,0.00e+00,SIG
4096,4,r1_C2_vs_C0,"resource axis, e2e (reversal core)",e2e_max_us,8261.9,8284.6,0.273,5,5,5/5,4.78e-02,WEAK
4096,4,r1_vs_rs,"overlap gain, RCCL",e2e_max_us,8284.6,9770.8,15.211,5,5,5/5,0.00e+00,SIG
