case_id,path,family,candidate,N,q,rep,iterations,release_first_med_us,release_last_med_us,release_pacing_med_us,release_to_gemm_delay_med_us,gemm_dur_med_us
case036_fc_C0_DEFAULT_N512_q2_rep1,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,512,2,1,80,11541.3,11541.3,,-11541.3,0.0
case037_fc_C0_DEFAULT_N512_q2_rep2,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,512,2,2,80,11511.3,11511.3,,-11511.3,0.0
case038_fc_C0_DEFAULT_N512_q2_rep3,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,512,2,3,80,11537.1,11537.1,,-11537.1,0.0
case039_fc_C0_DEFAULT_N512_q2_rep4,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,512,2,4,80,11535.1,11535.1,,-11535.1,0.0
case040_fc_C0_DEFAULT_N512_q2_rep5,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,512,2,5,80,11507.8,11507.8,,-11507.8,0.0
case041_dc_C0_DEFAULT_N512_q2_rep1,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,512,2,1,80,5442.9,7446.1,1999.5,-7406.1,0.0
case042_dc_C0_DEFAULT_N512_q2_rep2,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,512,2,2,80,5433.6,7444.4,2012.5,-7260.8,0.0
case043_dc_C0_DEFAULT_N512_q2_rep3,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,512,2,3,80,5448.6,7451.6,2002.4,-7425.6,0.0
case044_dc_C0_DEFAULT_N512_q2_rep4,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,512,2,4,80,5444.4,7449.3,1999.6,-7393.3,0.0
case045_dc_C0_DEFAULT_N512_q2_rep5,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,512,2,5,80,5453.4,7453.8,2000.4,-7123.1,0.0
case046_d0_C0_DEFAULT_N512_q2_rep1,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,512,2,1,80,11549.0,11549.0,,16.2,1027.0
case047_d0_C0_DEFAULT_N512_q2_rep2,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,512,2,2,80,11519.9,11519.9,,16.2,1026.8
case048_d0_C0_DEFAULT_N512_q2_rep3,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,512,2,3,80,11519.8,11519.8,,16.2,1026.7
case049_d0_C0_DEFAULT_N512_q2_rep4,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,512,2,4,80,11520.5,11520.5,,16.2,1026.5
case050_d0_C0_DEFAULT_N512_q2_rep5,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,512,2,5,80,11550.0,11550.0,,16.3,1026.3
case051_ds_C0_DEFAULT_N512_q2_rep1,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,2,1,80,7470.4,8127.0,653.1,5.4,579.2
case052_ds_C0_DEFAULT_N512_q2_rep2,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,2,2,80,7468.7,8127.5,661.6,5.4,581.2
case053_ds_C0_DEFAULT_N512_q2_rep3,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,2,3,80,7466.5,8114.5,646.1,5.6,574.8
case054_ds_C0_DEFAULT_N512_q2_rep4,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,2,4,80,7468.5,8117.7,650.2,5.6,575.1
case055_ds_C0_DEFAULT_N512_q2_rep5,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,2,5,80,7469.3,8126.9,657.3,5.6,577.5
case056_d1_C0_DEFAULT_N512_q2_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,2,1,80,7469.4,8127.3,656.4,5.4,578.7
case057_d1_C0_DEFAULT_N512_q2_rep2,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,2,2,80,7469.6,8129.3,658.0,5.6,580.7
case058_d1_C0_DEFAULT_N512_q2_rep3,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,2,3,80,7466.5,8114.0,646.7,5.4,581.0
case059_d1_C0_DEFAULT_N512_q2_rep4,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,2,4,80,7466.1,8120.9,654.6,5.6,578.1
case060_d1_C0_DEFAULT_N512_q2_rep5,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,2,5,80,7467.2,8134.8,669.0,5.6,578.4
case061_comm_C0_DEFAULT_N512_q4_rep1,COMM_ONLY,RCCL,C0_DEFAULT,512,4,1,80,1025.1,4066.5,1013.9,-2554.8,0.0
case062_comm_C0_DEFAULT_N512_q4_rep2,COMM_ONLY,RCCL,C0_DEFAULT,512,4,2,80,1025.1,4069.4,1014.7,-2554.3,0.0
case063_comm_C0_DEFAULT_N512_q4_rep3,COMM_ONLY,RCCL,C0_DEFAULT,512,4,3,80,1025.5,4068.1,1014.2,-2559.1,0.0
case064_comm_C0_DEFAULT_N512_q4_rep4,COMM_ONLY,RCCL,C0_DEFAULT,512,4,4,80,1025.4,4067.3,1014.2,-3047.2,0.0
case065_comm_C0_DEFAULT_N512_q4_rep5,COMM_ONLY,RCCL,C0_DEFAULT,512,4,5,80,1021.9,4063.2,1013.9,-2566.4,0.0
case066_comm_C2_RING_SIMPLE_CH8_N512_q4_rep1,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,512,4,1,80,1009.7,3987.4,992.4,-2638.2,0.0
case067_comm_C2_RING_SIMPLE_CH8_N512_q4_rep2,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,512,4,2,80,1001.3,3974.3,991.5,-2500.5,0.0
case068_comm_C2_RING_SIMPLE_CH8_N512_q4_rep3,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,512,4,3,80,1008.3,3980.1,990.7,-2975.9,0.0
case069_comm_C2_RING_SIMPLE_CH8_N512_q4_rep4,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,512,4,4,80,1004.5,3976.7,990.8,-2494.3,0.0
case070_comm_C2_RING_SIMPLE_CH8_N512_q4_rep5,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,512,4,5,80,1005.2,3980.9,991.6,-2977.3,0.0
case071_gemm_C0_DEFAULT_N512_q4_rep1,GEMM_ONLY,RCCL,C0_DEFAULT,512,4,1,80,0.0,0.0,0.0,572.4,283.4
case072_gemm_C0_DEFAULT_N512_q4_rep2,GEMM_ONLY,RCCL,C0_DEFAULT,512,4,2,80,0.0,0.0,0.0,451.7,291.9
case073_gemm_C0_DEFAULT_N512_q4_rep3,GEMM_ONLY,RCCL,C0_DEFAULT,512,4,3,80,0.0,0.0,0.0,583.3,288.2
case074_gemm_C0_DEFAULT_N512_q4_rep4,GEMM_ONLY,RCCL,C0_DEFAULT,512,4,4,80,0.0,0.0,0.0,562.9,285.0
case075_gemm_C0_DEFAULT_N512_q4_rep5,GEMM_ONLY,RCCL,C0_DEFAULT,512,4,5,80,0.0,0.0,0.0,560.3,282.5
case076_r0_C0_DEFAULT_N512_q4_rep1,R0_FULL_SERIAL,RCCL,C0_DEFAULT,512,4,1,80,4054.7,4054.7,,16.2,1026.2
case077_r0_C0_DEFAULT_N512_q4_rep2,R0_FULL_SERIAL,RCCL,C0_DEFAULT,512,4,2,80,4052.8,4052.8,,16.3,1026.7
