N,q,pair,axis_note,metric,source_a,source_b,median_a_us,median_b_us,delta_pct_pos_a_faster,reps_a,reps_b,rep_direction_consistency,mw_p_all_iters,verdict
512,8,d1_stretch_vs_dc,sliced-release stretch (d1 done vs pure transport),t_done_max_us,dsfix,formal,17575.2,11096.6,-58.384,5,5,5/5,0.00e+00,SIG
512,8,d1w_stretch_vs_dc,sliced-release stretch post wait-placement fix,t_done_max_us,dsfix,formal,17898.4,11096.6,-61.297,5,5,5/5,0.00e+00,SIG
2048,2,comm_C2_vs_C0,"resource axis, isolated",t_done_max_us,formal,formal,3899.0,4019.3,2.994,5,5,5/5,0.00e+00,SIG
2048,2,r1_C2_vs_C0,"resource axis, e2e",e2e_max_us,formal,formal,5741.8,6087.4,5.677,5,5,5/5,0.00e+00,SIG
2048,2,r1_vs_rs,"overlap gain, RCCL",e2e_max_us,formal,formal,6087.4,6988.5,12.893,5,5,5/5,0.00e+00,SIG
2048,2,r1_vs_r0,"overlap gain vs bulk, RCCL",e2e_max_us,formal,formal,6087.4,6848.9,11.118,5,5,5/5,0.00e+00,SIG
2048,2,d1_vs_ds,overlap gain vs TRUE serial (post-fix),e2e_max_us,dsfix,dsfix,10209.6,10211.2,0.015,5,5,3/5,6.11e-01,NS
2048,2,d1w_vs_ds,wait-stream overlap gain vs TRUE serial,e2e_max_us,dsfix,dsfix,10217.4,10211.2,-0.061,5,5,2/5,7.21e-03,WEAK
2048,2,d1_vs_d0,"release semantics flip, DUSHMEM",e2e_max_us,dsfix,formal,10209.6,14339.4,28.800,5,5,5/5,0.00e+00,SIG
2048,2,d1w_vs_d0,wait-stream vs bulk fcollect,e2e_max_us,dsfix,formal,10217.4,14339.4,28.746,5,5,5/5,0.00e+00,SIG
2048,2,d1w_vs_d1,wait-placement effect,e2e_max_us,dsfix,dsfix,10217.4,10209.6,-0.076,5,5,3/5,2.89e-02,WEAK
2048,2,ds_vs_d0,"true serial baselines, put-signal vs fcollect",e2e_max_us,dsfix,formal,10211.2,14339.4,28.789,5,5,5/5,0.00e+00,SIG
2048,2,r1_vs_d1,substrate gap under overlap,e2e_max_us,formal,dsfix,6087.4,10209.6,40.375,5,5,5/5,0.00e+00,SIG
2048,2,r1_vs_d1w,substrate gap under fixed overlap,e2e_max_us,formal,dsfix,6087.4,10217.4,40.421,5,5,5/5,0.00e+00,SIG
2048,2,d1_stretch_vs_dc,sliced-release stretch (d1 done vs pure transport),t_done_max_us,dsfix,formal,10207.9,7481.4,-36.444,5,5,5/5,0.00e+00,SIG
2048,2,d1w_stretch_vs_dc,sliced-release stretch post wait-placement fix,t_done_max_us,dsfix,formal,10216.1,7481.4,-36.554,5,5,5/5,0.00e+00,SIG
2048,4,comm_C2_vs_C0,"resource axis, isolated",t_done_max_us,formal,formal,3994.1,4080.4,2.114,5,5,5/5,0.00e+00,SIG
2048,4,r1_C2_vs_C0,"resource axis, e2e",e2e_max_us,formal,formal,5036.4,5121.7,1.664,5,5,5/5,0.00e+00,SIG
2048,4,r1_vs_rs,"overlap gain, RCCL",e2e_max_us,formal,formal,5121.7,7189.9,28.766,5,5,5/5,0.00e+00,SIG
2048,4,r1_vs_r0,"overlap gain vs bulk, RCCL",e2e_max_us,formal,formal,5121.7,6846.8,25.196,5,5,5/5,0.00e+00,SIG
2048,4,d1_vs_ds,overlap gain vs TRUE serial (post-fix),e2e_max_us,dsfix,dsfix,10301.7,10286.6,-0.148,5,5,3/5,3.32e-01,NS
2048,4,d1w_vs_ds,wait-stream overlap gain vs TRUE serial,e2e_max_us,dsfix,dsfix,10332.6,10286.6,-0.448,5,5,4/5,1.20e-06,SIG
2048,4,d1_vs_d0,"release semantics flip, DUSHMEM",e2e_max_us,dsfix,formal,10301.7,14334.7,28.134,5,5,5/5,0.00e+00,SIG
2048,4,d1w_vs_d0,wait-stream vs bulk fcollect,e2e_max_us,dsfix,formal,10332.6,14334.7,27.919,5,5,5/5,0.00e+00,SIG
2048,4,d1w_vs_d1,wait-placement effect,e2e_max_us,dsfix,dsfix,10332.6,10301.7,-0.300,5,5,5/5,1.90e-05,SIG
2048,4,ds_vs_d0,"true serial baselines, put-signal vs fcollect",e2e_max_us,dsfix,formal,10286.6,14334.7,28.240,5,5,5/5,0.00e+00,SIG
2048,4,r1_vs_d1,substrate gap under overlap,e2e_max_us,formal,dsfix,5121.7,10301.7,50.283,5,5,5/5,0.00e+00,SIG
2048,4,r1_vs_d1w,substrate gap under fixed overlap,e2e_max_us,formal,dsfix,5121.7,10332.6,50.432,5,5,5/5,0.00e+00,SIG
2048,4,d1_stretch_vs_dc,sliced-release stretch (d1 done vs pure transport),t_done_max_us,dsfix,formal,10300.6,7587.0,-35.767,5,5,5/5,0.00e+00,SIG
2048,4,d1w_stretch_vs_dc,sliced-release stretch post wait-placement fix,t_done_max_us,dsfix,formal,10331.2,7587.0,-36.170,5,5,5/5,0.00e+00,SIG
2048,8,comm_C2_vs_C0,"resource axis, isolated",t_done_max_us,formal,formal,4164.7,4233.5,1.624,5,5,5/5,0.00e+00,SIG
2048,8,r1_C2_vs_C0,"resource axis, e2e",e2e_max_us,formal,formal,5696.2,5400.2,-5.481,5,5,5/5,0.00e+00,SIG
2048,8,r1_vs_rs,"overlap gain, RCCL",e2e_max_us,formal,formal,5400.2,7965.0,32.201,5,5,5/5,0.00e+00,SIG
2048,8,r1_vs_r0,"overlap gain vs bulk, RCCL",e2e_max_us,formal,formal,5400.2,6847.2,21.133,5,5,5/5,0.00e+00,SIG
2048,8,d1_vs_ds,overlap gain vs TRUE serial (post-fix),e2e_max_us,dsfix,dsfix,18281.4,18372.6,0.496,5,5,2/5,6.39e-01,NS
2048,8,d1w_vs_ds,wait-stream overlap gain vs TRUE serial,e2e_max_us,dsfix,dsfix,18462.9,18372.6,-0.491,5,5,3/5,1.85e-01,NS
2048,8,d1_vs_d0,"release semantics flip, DUSHMEM",e2e_max_us,dsfix,formal,18281.4,14333.4,-27.544,5,5,5/5,0.00e+00,SIG
2048,8,d1w_vs_d0,wait-stream vs bulk fcollect,e2e_max_us,dsfix,formal,18462.9,14333.4,-28.810,5,5,5/5,0.00e+00,SIG
2048,8,d1w_vs_d1,wait-placement effect,e2e_max_us,dsfix,dsfix,18462.9,18281.4,-0.993,5,5,2/5,4.04e-01,NS
2048,8,ds_vs_d0,"true serial baselines, put-signal vs fcollect",e2e_max_us,dsfix,formal,18372.6,14333.4,-28.180,5,5,5/5,0.00e+00,SIG
2048,8,r1_vs_d1,substrate gap under overlap,e2e_max_us,formal,dsfix,5400.2,18281.4,70.461,5,5,5/5,0.00e+00,SIG
2048,8,r1_vs_d1w,substrate gap under fixed overlap,e2e_max_us,formal,dsfix,5400.2,18462.9,70.751,5,5,5/5,0.00e+00,SIG
2048,8,d1_stretch_vs_dc,sliced-release stretch (d1 done vs pure transport),t_done_max_us,dsfix,formal,18278.7,10740.4,-70.186,5,5,5/5,0.00e+00,SIG
2048,8,d1w_stretch_vs_dc,sliced-release stretch post wait-placement fix,t_done_max_us,dsfix,formal,18461.4,10740.4,-71.887,5,5,5/5,0.00e+00,SIG
2048,16,comm_C2_vs_C0,"resource axis, isolated",t_done_max_us,formal,formal,4520.1,4551.3,0.686,5,5,5/5,0.00e+00,SIG
2048,16,r1_C2_vs_C0,"resource axis, e2e",e2e_max_us,formal,formal,6144.2,5830.1,-5.388,5,5,5/5,0.00e+00,SIG
2048,16,r1_vs_rs,"overlap gain, RCCL",e2e_max_us,formal,formal,5830.1,8337.0,30.070,5,5,5/5,0.00e+00,SIG
2048,16,d1_vs_ds,overlap gain vs TRUE serial (post-fix),e2e_max_us,dsfix,dsfix,23923.7,24460.4,2.194,5,5,4/5,7.70e-01,NS
2048,16,d1w_vs_ds,wait-stream overlap gain vs TRUE serial,e2e_max_us,dsfix,dsfix,23822.9,24460.4,2.606,5,5,3/5,8.59e-01,NS
2048,16,d1w_vs_d1,wait-placement effect,e2e_max_us,dsfix,dsfix,23822.9,23923.7,0.421,5,5,3/5,8.46e-01,NS
2048,16,r1_vs_d1,substrate gap under overlap,e2e_max_us,formal,dsfix,5830.1,23923.7,75.631,5,5,5/5,0.00e+00,SIG
2048,16,r1_vs_d1w,substrate gap under fixed overlap,e2e_max_us,formal,dsfix,5830.1,23822.9,75.527,5,5,5/5,0.00e+00,SIG
2048,16,d1_stretch_vs_dc,sliced-release stretch (d1 done vs pure transport),t_done_max_us,dsfix,formal,23921.0,14920.0,-60.328,5,5,5/5,0.00e+00,SIG
2048,16,d1w_stretch_vs_dc,sliced-release stretch post wait-placement fix,t_done_max_us,dsfix,formal,23821.8,14920.0,-59.663,5,5,5/5,0.00e+00,SIG
4096,2,comm_C2_vs_C0,"resource axis, isolated",t_done_max_us,formal,formal,3899.8,4025.9,3.132,5,5,5/5,0.00e+00,SIG
4096,2,r1_C2_vs_C0,"resource axis, e2e",e2e_max_us,formal,formal,8464.6,8798.5,3.795,5,5,5/5,0.00e+00,SIG
4096,2,r1_vs_rs,"overlap gain, RCCL",e2e_max_us,formal,formal,8798.5,10968.6,19.785,5,5,5/5,0.00e+00,SIG
4096,2,r1_vs_r0,"overlap gain vs bulk, RCCL",e2e_max_us,formal,formal,8798.5,10833.7,18.786,5,5,5/5,0.00e+00,SIG
4096,2,d1_vs_ds,overlap gain vs TRUE serial (post-fix),e2e_max_us,dsfix,dsfix,13926.4,13911.9,-0.105,5,5,4/5,2.54e-01,NS
4096,2,d1w_vs_ds,wait-stream overlap gain vs TRUE serial,e2e_max_us,dsfix,dsfix,13953.0,13911.9,-0.296,5,5,5/5,1.58e-03,WEAK
