case_id,path,candidate,N,q,rep,slice_index,t_release_med_us,t_gemm_start_med_us,t_gemm_end_med_us,t_gemm_duration_med_us
case021_rs_C0_DEFAULT_N512_q2_rep1,RS_SLICE_SERIAL,C0_DEFAULT,512,2,1,1,4670.6,4680.6,5225.6,556.4
case022_rs_C0_DEFAULT_N512_q2_rep2,RS_SLICE_SERIAL,C0_DEFAULT,512,2,2,0,2063.9,2073.9,2621.5,549.3
case022_rs_C0_DEFAULT_N512_q2_rep2,RS_SLICE_SERIAL,C0_DEFAULT,512,2,2,1,4673.8,4683.9,5227.3,549.6
case023_rs_C0_DEFAULT_N512_q2_rep3,RS_SLICE_SERIAL,C0_DEFAULT,512,2,3,0,2063.6,2073.6,2619.9,556.9
case023_rs_C0_DEFAULT_N512_q2_rep3,RS_SLICE_SERIAL,C0_DEFAULT,512,2,3,1,4673.0,4683.2,5229.5,551.8
case024_rs_C0_DEFAULT_N512_q2_rep4,RS_SLICE_SERIAL,C0_DEFAULT,512,2,4,0,2061.6,2072.1,2619.4,555.8
case024_rs_C0_DEFAULT_N512_q2_rep4,RS_SLICE_SERIAL,C0_DEFAULT,512,2,4,1,4670.7,4681.0,5221.6,548.7
case025_rs_C0_DEFAULT_N512_q2_rep5,RS_SLICE_SERIAL,C0_DEFAULT,512,2,5,0,2059.2,2069.3,2615.3,550.7
case025_rs_C0_DEFAULT_N512_q2_rep5,RS_SLICE_SERIAL,C0_DEFAULT,512,2,5,1,4666.9,4677.1,5223.5,552.4
case026_r1_C0_DEFAULT_N512_q2_rep1,R1_EVENT_OVERLAP,C0_DEFAULT,512,2,1,0,2061.8,2072.8,2824.9,755.6
case026_r1_C0_DEFAULT_N512_q2_rep1,R1_EVENT_OVERLAP,C0_DEFAULT,512,2,1,1,4224.2,4234.2,4778.4,554.0
case027_r1_C0_DEFAULT_N512_q2_rep2,R1_EVENT_OVERLAP,C0_DEFAULT,512,2,2,0,2062.2,2072.9,2828.2,762.0
case027_r1_C0_DEFAULT_N512_q2_rep2,R1_EVENT_OVERLAP,C0_DEFAULT,512,2,2,1,4223.8,4234.1,4775.7,550.0
case028_r1_C0_DEFAULT_N512_q2_rep3,R1_EVENT_OVERLAP,C0_DEFAULT,512,2,3,0,2062.8,2073.9,2834.1,765.2
case028_r1_C0_DEFAULT_N512_q2_rep3,R1_EVENT_OVERLAP,C0_DEFAULT,512,2,3,1,4225.7,4235.8,4778.3,551.2
