candidate,N,q,path,family,reps,t_done_p50_us,e2e_p50_us,release_last_p50_us,e2e_p05_us,e2e_p95_us,release_gap_us,comm_compute_overlap_us,e2e_p50_stdev_us,source
C0_DEFAULT,512,2,COMM_ONLY,RCCL,5,4007.855,4013.375,4002.335,4009.215,4016.814,5.520,5.520,2.548,formal
C0_DEFAULT,512,2,D0_FCOLLECT_SERIAL,DUSHMEM,5,11526.482,12572.093,11520.494,12569.287,12600.719,1045.611,1045.611,14.291,formal
C0_DEFAULT,512,2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,8822.879,8823.840,8182.355,8813.689,8841.352,0.960,0.960,10.575,dsfix
C0_DEFAULT,512,2,D1_PUSHSIG_OVERLAP,DUSHMEM,5,8797.281,8799.361,8162.917,8796.401,8819.337,2.081,2.081,9.839,dsfix
C0_DEFAULT,512,2,DC_PUSHSIG_ONLY,DUSHMEM,5,7459.987,7458.948,7449.342,7453.262,7461.977,-1.040,-1.040,3.040,formal
C0_DEFAULT,512,2,DS_PUSHSIG_SERIAL,DUSHMEM,5,8821.680,8823.200,8182.833,8791.521,8832.472,1.520,1.520,14.113,dsfix
C0_DEFAULT,512,2,FC_FCOLLECT_ONLY,DUSHMEM,5,11525.201,11540.721,11535.121,11513.433,11546.873,15.520,15.520,14.070,formal
C0_DEFAULT,512,2,GEMM_ONLY,RCCL,5,1138.577,1144.177,0.000,1142.336,1755.024,5.600,5.600,244.516,formal
C0_DEFAULT,512,2,R0_FULL_SERIAL,RCCL,5,4059.766,5100.313,4053.924,5094.278,5101.713,1040.547,1040.547,2.849,formal
C0_DEFAULT,512,2,R1_EVENT_OVERLAP,RCCL,5,4230.403,4783.811,4223.923,4780.376,4784.531,553.408,553.408,1.668,formal
C0_DEFAULT,512,2,RS_SLICE_SERIAL,RCCL,5,4677.417,5230.965,4670.697,5227.067,5234.905,553.547,553.547,2.775,formal
C0_DEFAULT,512,4,COMM_ONLY,RCCL,5,4072.895,4078.571,4067.295,4074.332,4080.411,5.676,5.676,2.051,formal
C0_DEFAULT,512,4,D0_FCOLLECT_SERIAL,DUSHMEM,5,11526.312,12566.737,11520.312,12557.524,12595.212,1040.425,1040.425,13.836,formal
C0_DEFAULT,512,4,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,9177.493,9175.333,8808.719,9053.811,9339.795,-2.159,-2.159,106.350,dsfix
C0_DEFAULT,512,4,D1_PUSHSIG_OVERLAP,DUSHMEM,5,9096.800,9096.640,8729.171,8889.341,9390.812,-0.160,-0.160,164.014,dsfix
C0_DEFAULT,512,4,DC_PUSHSIG_ONLY,DUSHMEM,5,7582.307,7583.187,7572.388,7530.230,7624.465,0.880,0.880,37.454,formal
C0_DEFAULT,512,4,DS_PUSHSIG_SERIAL,DUSHMEM,5,9116.784,9116.784,8779.123,9010.533,9286.766,0.000,0.000,89.895,dsfix
C0_DEFAULT,512,4,FC_FCOLLECT_ONLY,DUSHMEM,5,11515.192,11530.791,11525.353,11523.283,11546.713,15.600,15.600,8.498,formal
C0_DEFAULT,512,4,GEMM_ONLY,RCCL,5,1159.535,1164.974,0.000,1151.295,1191.853,5.440,5.440,13.946,formal
C0_DEFAULT,512,4,R0_FULL_SERIAL,RCCL,5,4058.812,5100.033,4052.812,5094.914,5100.914,1041.221,1041.221,2.210,formal
C0_DEFAULT,512,4,R1_EVENT_OVERLAP,RCCL,5,4274.319,4553.264,4267.840,4544.704,4567.343,278.944,278.944,8.766,formal
C0_DEFAULT,512,4,RS_SLICE_SERIAL,RCCL,5,5059.044,5341.619,5052.321,5298.329,5355.157,282.575,282.575,19.787,formal
C0_DEFAULT,512,8,COMM_ONLY,RCCL,5,4226.486,4232.002,4221.042,4231.682,4234.848,5.516,5.516,1.186,formal
