case_id,path,family,candidate,M_local,N,K,q,rep,iterations,iteration_failures,status,t_release_first_max_us_p50,t_release_first_max_us_p05,t_release_first_max_us_p95,t_release_last_max_us_p50,t_release_last_max_us_p05,t_release_last_max_us_p95,t_done_max_us_p50,t_done_max_us_p05,t_done_max_us_p95,gemm_first_start_max_us_p50,gemm_first_start_max_us_p05,gemm_first_start_max_us_p95,gemm_last_end_max_us_p50,gemm_last_end_max_us_p05,gemm_last_end_max_us_p95,gemm_interval_max_us_p50,gemm_interval_max_us_p05,gemm_interval_max_us_p95,e2e_max_us_p50,e2e_max_us_p05,e2e_max_us_p95
case016_ds_C0_DEFAULT_N512_q4_rep1,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,4,1,80,0,PASS,2162.203,2105.322,9186.683,8679.839,8278.256,15688.877,9010.052,8586.717,16054.775,2167.642,2111.082,9192.282,8953.104,8537.920,15997.499,6752.660,6424.439,13690.429,9010.533,8586.558,16054.617
case017_ds_C0_DEFAULT_N512_q4_rep2,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,4,2,80,0,PASS,2161.483,2117.005,9723.455,8802.553,8540.320,15707.438,9158.302,8857.743,16049.019,2167.082,2122.605,9728.896,9110.224,8811.825,16000.222,6864.895,6428.119,14162.403,9158.142,8857.583,16048.858
case018_ds_C0_DEFAULT_N512_q4_rep3,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,4,3,80,0,PASS,2157.483,2077.963,9729.552,8779.123,8223.218,15861.828,9116.784,8552.318,16179.569,2163.083,2083.403,9735.150,9063.100,8505.922,16132.214,6847.695,6457.717,13218.136,9116.784,8553.119,16179.411
case019_ds_C0_DEFAULT_N512_q4_rep4,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,4,4,80,0,PASS,2160.762,2079.883,9810.487,8889.508,8297.135,15720.237,9286.766,8630.570,16057.179,2166.282,2085.323,9816.088,9186.851,8568.334,16009.180,6780.900,6456.438,12595.770,9286.766,8630.729,16057.019
case020_ds_C0_DEFAULT_N512_q4_rep5,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,4,5,80,0,PASS,2152.523,2082.606,9517.547,8721.269,8240.337,16383.269,9103.247,8577.278,16736.340,2157.963,2088.206,9523.146,9012.701,8530.081,16688.023,6740.181,6416.279,14453.746,9103.167,8577.118,16736.180
case021_d1_C0_DEFAULT_N512_q4_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,4,1,80,0,PASS,2157.216,2093.525,9413.089,8729.171,8327.742,15857.851,9096.800,8681.057,16205.387,2162.896,2098.965,9418.528,9048.158,8623.067,16158.025,6847.030,6483.091,14006.164,9096.640,8682.019,16205.227
case022_d1_C0_DEFAULT_N512_q4_rep2,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,4,2,80,0,PASS,2172.568,2089.410,7335.252,8972.628,8503.933,15013.086,9390.733,8828.874,15364.122,2178.090,2095.013,7341.015,9258.274,8774.292,15315.780,6927.713,6430.052,13051.866,9390.812,8828.715,15363.962
case023_d1_C0_DEFAULT_N512_q4_rep3,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,4,3,80,0,PASS,2158.827,2080.904,9686.199,8796.423,8280.397,15972.899,9167.971,8609.063,16299.339,2164.268,2086.344,9692.118,9092.056,8558.010,16234.191,6886.343,6447.654,13752.675,9167.332,8610.983,16300.299
case024_d1_C0_DEFAULT_N512_q4_rep4,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,4,4,80,0,PASS,2144.923,2080.846,8167.540,8541.848,8169.142,15410.976,8889.501,8509.938,15781.034,2150.523,2086.606,8173.140,8821.265,8442.101,15733.516,6611.708,6393.399,13779.705,8889.341,8511.043,15780.874
case025_d1_C0_DEFAULT_N512_q4_rep5,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,4,5,80,0,PASS,2164.042,2089.006,9516.265,8668.314,8269.295,16468.865,9048.139,8603.532,16775.088,2169.561,2094.606,9522.024,8945.746,8555.054,16727.410,6700.584,6458.357,13611.718,9047.979,8603.372,16774.928
case026_d1w_C0_DEFAULT_N512_q4_rep1,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,4,1,80,0,PASS,2159.243,2083.247,6719.462,8719.605,8244.977,16091.093,9055.012,8583.518,16432.994,2179.241,2103.566,6738.340,9000.855,8536.001,16378.118,6785.300,6454.518,14380.310,9053.811,8582.238,16431.875
case027_d1w_C0_DEFAULT_N512_q4_rep2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,4,2,80,0,PASS,2131.004,2082.767,9798.010,8933.577,8200.658,16452.516,9339.714,8554.559,16798.256,2149.483,2101.966,9818.649,9272.279,8506.242,16751.539,6696.504,6409.558,14379.515,9339.795,8553.439,16796.977
case028_d1w_C0_DEFAULT_N512_q4_rep3,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,4,3,80,0,PASS,2151.722,2079.406,9944.100,8808.719,8327.532,16093.494,9177.493,8674.393,16446.113,2172.041,2097.485,9966.657,9124.623,8615.852,16389.477,6814.976,6480.276,14087.850,9175.333,8671.033,16445.154
case029_d1w_C0_DEFAULT_N512_q4_rep4,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,4,4,80,0,PASS,2151.403,2083.723,7670.769,8812.706,8272.496,15698.476,9203.484,8593.758,16224.688,2173.482,2108.522,7689.328,9104.130,8538.881,16013.020,6838.737,6438.358,13900.017,9201.163,8592.638,16223.568
