case_id,path,family,candidate,N,q,rep,iterations,release_first_med_us,release_last_med_us,release_pacing_med_us,release_to_gemm_delay_med_us,gemm_dur_med_us
case034_ds_C0_DEFAULT_N512_q8_rep4,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,8,4,80,1070.7,17460.7,1183.1,5.6,251.8
case035_ds_C0_DEFAULT_N512_q8_rep5,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,8,5,80,1071.8,17502.9,1183.9,5.6,251.3
case036_d1_C0_DEFAULT_N512_q8_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,8,1,80,1070.3,17192.6,1188.1,5.6,250.9
case037_d1_C0_DEFAULT_N512_q8_rep2,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,8,2,80,1072.0,17383.6,1183.6,5.6,247.7
case038_d1_C0_DEFAULT_N512_q8_rep3,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,8,3,80,1070.7,17322.2,1181.7,5.6,248.1
case039_d1_C0_DEFAULT_N512_q8_rep4,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,8,4,80,1073.8,16911.2,1184.9,5.6,251.2
case040_d1_C0_DEFAULT_N512_q8_rep5,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,8,5,80,1070.9,16786.5,1180.1,5.6,247.5
case041_d1w_C0_DEFAULT_N512_q8_rep1,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,512,8,1,80,1070.9,17473.3,1159.1,20.5,240.3
case042_d1w_C0_DEFAULT_N512_q8_rep2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,512,8,2,80,1070.6,17394.0,1194.5,20.6,239.8
case043_d1w_C0_DEFAULT_N512_q8_rep3,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,512,8,3,80,1071.7,17500.0,1191.9,20.8,240.8
case044_d1w_C0_DEFAULT_N512_q8_rep4,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,512,8,4,80,1071.7,17760.5,1182.5,21.0,243.3
case045_d1w_C0_DEFAULT_N512_q8_rep5,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,512,8,5,80,1071.1,17379.0,1174.7,20.2,238.0
case046_ds_C0_DEFAULT_N2048_q2_rep1,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,2,1,80,3917.6,8681.9,4763.9,5.5,1491.1
case047_ds_C0_DEFAULT_N2048_q2_rep2,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,2,2,80,3919.2,8683.2,4762.5,5.6,1465.2
case048_ds_C0_DEFAULT_N2048_q2_rep3,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,2,3,80,3917.4,8707.4,4789.2,5.6,1460.9
case049_ds_C0_DEFAULT_N2048_q2_rep4,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,2,4,80,3919.2,8713.3,4792.6,5.6,1484.1
case050_ds_C0_DEFAULT_N2048_q2_rep5,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,2,5,80,3920.1,8703.2,4785.3,5.6,1480.5
case051_d1_C0_DEFAULT_N2048_q2_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2,1,80,3917.6,8704.5,4786.8,5.6,1499.5
case052_d1_C0_DEFAULT_N2048_q2_rep2,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2,2,80,3919.0,8704.3,4786.4,5.6,1474.2
case053_d1_C0_DEFAULT_N2048_q2_rep3,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2,3,80,3917.9,8697.3,4775.8,5.4,1480.8
case054_d1_C0_DEFAULT_N2048_q2_rep4,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2,4,80,3918.3,8698.2,4779.2,5.6,1461.5
case055_d1_C0_DEFAULT_N2048_q2_rep5,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2,5,80,3916.5,8682.7,4764.4,5.4,1468.7
case056_d1w_C0_DEFAULT_N2048_q2_rep1,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2,1,80,3921.9,8681.4,4761.6,19.9,1486.9
case057_d1w_C0_DEFAULT_N2048_q2_rep2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2,2,80,3917.0,8701.3,4782.6,19.2,1451.7
case058_d1w_C0_DEFAULT_N2048_q2_rep3,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2,3,80,3921.5,8686.5,4764.0,19.5,1471.4
case059_d1w_C0_DEFAULT_N2048_q2_rep4,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2,4,80,3920.7,8722.2,4797.2,19.5,1479.3
case060_d1w_C0_DEFAULT_N2048_q2_rep5,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2,5,80,3917.1,8698.7,4782.1,19.5,1478.0
case061_ds_C0_DEFAULT_N2048_q4_rep1,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,4,1,80,2032.2,9537.9,2493.4,5.6,772.8
case062_ds_C0_DEFAULT_N2048_q4_rep2,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,4,2,80,2037.4,9478.9,2483.5,5.6,777.0
case063_ds_C0_DEFAULT_N2048_q4_rep3,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,4,3,80,2032.8,9396.7,2452.6,5.4,773.4
case064_ds_C0_DEFAULT_N2048_q4_rep4,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,4,4,80,2034.3,9412.4,2451.8,5.4,774.2
case065_ds_C0_DEFAULT_N2048_q4_rep5,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,4,5,80,2033.0,9502.0,2488.1,5.6,776.2
case066_d1_C0_DEFAULT_N2048_q4_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,4,1,80,2034.2,9487.4,2486.0,5.6,775.6
case067_d1_C0_DEFAULT_N2048_q4_rep2,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,4,2,80,2030.0,9482.7,2484.5,5.6,777.4
case068_d1_C0_DEFAULT_N2048_q4_rep3,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,4,3,80,2034.6,9425.2,2469.0,5.6,779.5
case069_d1_C0_DEFAULT_N2048_q4_rep4,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,4,4,80,2032.4,9466.6,2474.0,5.4,772.7
