path,candidate,M,N,K,q,slice_index,slice_bytes,sample_count,release_p05_us,release_p50_us,release_p95_us,gemm_start_p50_us,gemm_end_p50_us,gemm_duration_p50_us,consumer_wait_p50_us
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,2048,2048,2,1,8388608,400,3948.730000,3956.738500,4177.764050,0.000000,0.000000,0.000000,-3956.738500
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,2048,2048,8,0,2097152,400,533.570000,535.810000,541.898000,0.000000,0.000000,0.000000,-535.810000
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,2048,2048,8,1,2097152,400,1056.571100,1058.980500,1067.956000,0.000000,0.000000,0.000000,-1058.980500
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,2048,2048,8,2,2097152,400,1579.271000,1582.151000,1593.704850,0.000000,0.000000,0.000000,-1582.151000
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,2048,2048,8,3,2097152,400,2101.802000,2105.005000,2121.969000,0.000000,0.000000,0.000000,-2105.005000
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,2048,2048,8,4,2097152,400,2624.332900,2628.172000,2646.123050,0.000000,0.000000,0.000000,-2628.172000
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,2048,2048,8,5,2097152,400,3147.184000,3151.343000,3171.494950,0.000000,0.000000,0.000000,-3151.343000
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,2048,2048,8,6,2097152,400,3670.033950,3674.437000,3696.264050,0.000000,0.000000,0.000000,-3674.437000
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,2048,2048,8,7,2097152,400,4192.876050,4197.528000,4223.202950,0.000000,0.000000,0.000000,-4197.528000
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,2048,2048,2,0,8388608,400,1943.891000,1948.676000,1968.463300,0.000000,0.000000,0.000000,-1948.676000
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,2048,2048,2,1,8388608,400,3877.046050,3884.781500,3913.314450,0.000000,0.000000,0.000000,-3884.781500
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,2048,2048,8,0,2097152,400,529.724450,531.810000,555.025000,0.000000,0.000000,0.000000,-531.810000
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,2048,2048,8,1,2097152,400,1048.034200,1050.661000,1074.052000,0.000000,0.000000,0.000000,-1050.661000
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,2048,2048,8,2,2097152,400,1566.155000,1569.421500,1593.998050,0.000000,0.000000,0.000000,-1569.421500
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,2048,2048,8,3,2097152,400,2084.363950,2088.043000,2120.369000,0.000000,0.000000,0.000000,-2088.043000
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,2048,2048,8,4,2097152,400,2602.728100,2606.858500,2643.900000,0.000000,0.000000,0.000000,-2606.858500
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,2048,2048,8,5,2097152,400,3120.936050,3125.705000,3170.062000,0.000000,0.000000,0.000000,-3125.705000
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,2048,2048,8,6,2097152,400,3639.001700,3644.116000,3692.217000,0.000000,0.000000,0.000000,-3644.116000
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,2048,2048,8,7,2097152,400,4157.213650,4162.806500,4225.874900,0.000000,0.000000,0.000000,-4162.806500
GEMM_ONLY,C0_DEFAULT,2048,2048,2048,2,0,8388608,240,0.000000,0.000000,0.000000,124.104000,1353.624500,1229.759500,124.104000
GEMM_ONLY,C0_DEFAULT,2048,2048,2048,2,1,8388608,240,0.000000,0.000000,0.000000,1359.464500,2610.190000,1252.642500,1359.464500
GEMM_ONLY,C0_DEFAULT,2048,2048,2048,8,0,2097152,240,0.000000,0.000000,0.000000,112.154000,532.309500,420.616000,112.154000
GEMM_ONLY,C0_DEFAULT,2048,2048,2048,8,1,2097152,240,0.000000,0.000000,0.000000,537.832500,955.089000,417.896000,537.832500
GEMM_ONLY,C0_DEFAULT,2048,2048,2048,8,2,2097152,240,0.000000,0.000000,0.000000,960.588000,1380.084000,420.936500,960.588000
GEMM_ONLY,C0_DEFAULT,2048,2048,2048,8,3,2097152,240,0.000000,0.000000,0.000000,1385.624500,1807.131000,424.456000,1385.624500
GEMM_ONLY,C0_DEFAULT,2048,2048,2048,8,4,2097152,240,0.000000,0.000000,0.000000,1812.736500,2235.397500,425.817000,1812.736500
GEMM_ONLY,C0_DEFAULT,2048,2048,2048,8,5,2097152,240,0.000000,0.000000,0.000000,2240.995500,2665.784500,427.816000,2240.995500
GEMM_ONLY,C0_DEFAULT,2048,2048,2048,8,6,2097152,240,0.000000,0.000000,0.000000,2671.530000,3097.111500,430.456000,2671.530000
GEMM_ONLY,C0_DEFAULT,2048,2048,2048,8,7,2097152,240,0.000000,0.000000,0.000000,3102.791000,3526.285000,427.658000,3102.791000
H0_EVENT_OVERLAP,C0_DEFAULT,2048,2048,2048,2,0,8388608,400,2026.270050,2036.366500,2050.933200,2046.925000,3992.181500,1954.370000,10.559000
H0_EVENT_OVERLAP,C0_DEFAULT,2048,2048,2048,2,1,8388608,400,4141.367000,4157.767000,4188.708600,4167.926500,5333.541000,1173.377000,10.079000
H0_EVENT_OVERLAP,C0_DEFAULT,2048,2048,2048,8,0,2097152,400,556.113000,562.528000,577.272000,573.567500,1258.809000,691.001000,10.560000
H0_EVENT_OVERLAP,C0_DEFAULT,2048,2048,2048,8,1,2097152,400,1104.418000,1112.257000,1129.057000,1286.248000,1892.374000,616.286000,173.750000
H0_EVENT_OVERLAP,C0_DEFAULT,2048,2048,2048,8,2,2097152,400,1665.491050,1674.306000,1693.409000,1920.292500,2482.741000,585.727000,245.104500
H0_EVENT_OVERLAP,C0_DEFAULT,2048,2048,2048,8,3,2097152,400,2219.550800,2231.317500,2253.377950,2510.901000,3055.988000,559.809000,279.987000
H0_EVENT_OVERLAP,C0_DEFAULT,2048,2048,2048,8,4,2097152,400,2776.807800,2786.883500,2811.715000,3083.832000,3623.479500,549.330000,297.263000
H0_EVENT_OVERLAP,C0_DEFAULT,2048,2048,2048,8,5,2097152,400,3342.044900,3352.371500,3381.259000,3651.158000,4190.486500,547.009500,298.223000
H0_EVENT_OVERLAP,C0_DEFAULT,2048,2048,2048,8,6,2097152,400,3908.093000,3918.821000,3947.163000,4218.643000,4735.254000,525.571500,299.023000
