M,N,K,q,comm_p50_by_candidate,isolated_comm_best,isolated_comm_best_p50_us,h0_p50_by_candidate,h0_best,h0_best_p50_us,h0_isolated_best_p50_us,h0_margin_vs_isolated_best_percent,h0_per_process_p50_by_candidate,h0_winner_beats_comm_winner_all_repetitions,b1_h0_c0_gain_percent,b1_h0_c2_gain_percent,evidence_status,caveat
2048,2048,2048,2,C0_DEFAULT:3962.817;C1_RING_SIMPLE_CH4:3963.377;C2_RING_SIMPLE_CH8:3889.781,C2_RING_SIMPLE_CH8,3889.781000,C0_DEFAULT:5338.505;C1_RING_SIMPLE_CH4:5343.254;C2_RING_SIMPLE_CH8:5147.324,C2_RING_SIMPLE_CH8,5147.324000,5147.324000,0.000000,C0_DEFAULT:r1=5342.022/r2=5336.739/r3=5341.059/r4=5338.505/r5=5337.941;C1_RING_SIMPLE_CH4:r1=5339.300/r2=5345.460/r3=5344.180/r4=5336.100/r5=5343.254;C2_RING_SIMPLE_CH8:r1=5147.324/r2=5147.324/r3=5148.427/r4=5148.030/r5=5144.992,NO,20.122778,23.333280,NO_REVERSAL_CONTROL,"Synthetic engineering shape; release curve and repeat evidence, not a final model trace result."
2048,2048,2048,8,C0_DEFAULT:4204.244;C1_RING_SIMPLE_CH4:4202.644;C2_RING_SIMPLE_CH8:4168.873,C2_RING_SIMPLE_CH8,4168.873500,C0_DEFAULT:5166.832;C1_RING_SIMPLE_CH4:5170.190;C2_RING_SIMPLE_CH8:5537.038,C0_DEFAULT,5166.831500,5537.037500,7.165049,C0_DEFAULT:r1=5167.711/r2=5166.033/r3=5166.675/r4=5166.832/r5=5171.470;C1_RING_SIMPLE_CH4:r1=5185.790/r2=5172.590/r3=5169.310/r4=5170.190/r5=5165.070;C2_RING_SIMPLE_CH8:r1=5541.995/r2=5542.699/r3=5537.038/r4=5531.769/r5=5534.329,YES,50.881696,40.129158,CONFIRMED_STRONG_REVERSAL,"Synthetic engineering shape; release curve and repeat evidence, not a final model trace result."
