path,candidate,M,N,K,q,sample_count,pass_count,fail_count,e2e_mean_us,e2e_p50_us,e2e_p05_us,e2e_p95_us,e2e_std_us,e2e_cv_percent,t_done_mean_us,release_first_mean_us,release_last_mean_us,gemm_interval_mean_us,gemm_tflops_mean,notes
B1_SLICE_SERIAL,C1_RING_SIMPLE_CH4,2048,128,2048,4,150,150,0,4815.016447,4738.614000,4726.366550,4755.525100,411.348291,8.543030,4669.369280,1058.405773,4662.975013,3748.662980,1.152887,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C1_RING_SIMPLE_CH4,2048,128,2048,8,150,150,0,5102.786327,5076.275000,5063.432150,5092.566400,213.276094,4.179601,5003.183347,555.192473,4996.802153,4540.856100,0.947360,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C1_RING_SIMPLE_CH4,2048,2048,2048,1,150,150,0,6415.984660,6384.447500,6355.358050,6433.975950,249.168068,3.883551,4038.478280,4032.204313,4032.204313,2380.197033,28.963680,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C1_RING_SIMPLE_CH4,2048,2048,2048,2,150,150,0,6470.291147,6420.986000,6397.950350,6459.589450,321.178151,4.963890,5303.603533,2060.603033,5297.334500,4401.775873,15.648233,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C1_RING_SIMPLE_CH4,2048,2048,2048,4,150,150,0,6756.806287,6722.022500,6706.023000,6755.236000,263.147327,3.894552,6118.387827,1065.342507,6112.043027,5680.632140,12.107407,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C1_RING_SIMPLE_CH4,2048,2048,2048,8,150,150,0,7868.939187,7793.563500,7781.466000,7827.151550,399.450099,5.076289,7442.717793,562.181613,7436.369420,7299.060200,9.436647,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C1_RING_SIMPLE_CH4,2048,512,2048,1,150,150,0,5032.453627,4906.524000,4852.318450,5193.248950,374.941968,7.450480,4153.711227,4147.445887,4147.446680,875.165060,19.892793,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C1_RING_SIMPLE_CH4,2048,512,2048,2,150,150,0,4841.229853,4823.961000,4809.170000,4849.949350,170.945405,3.531033,4467.283793,2035.768093,4461.058120,2792.210113,6.166087,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C1_RING_SIMPLE_CH4,2048,512,2048,4,150,150,0,4985.750533,4953.091000,4942.698300,4969.778000,265.296577,5.321096,4788.256340,1062.216867,4781.975853,3914.142287,4.395700,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C1_RING_SIMPLE_CH4,2048,512,2048,8,150,150,0,6071.680373,6017.987000,5992.895000,6100.769000,297.933788,4.906941,5864.924867,566.562333,5858.562587,5494.376447,3.131473,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,128,2048,1,150,150,0,4325.922833,4276.748500,4252.634000,4335.125300,319.059650,7.375528,3996.088947,3989.865400,3989.865400,325.005600,13.235167,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,128,2048,2,150,150,0,4314.462707,4298.968500,4282.463000,4320.884150,175.968363,4.078570,4166.471587,2014.227053,4160.163200,2289.499673,1.876100,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,128,2048,4,150,150,0,4720.725773,4685.257000,4669.408450,4709.303450,271.244838,5.745829,4575.510433,1049.580480,4569.102240,3662.513587,1.174713,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,128,2048,8,150,150,0,5099.222927,5039.797000,5030.509000,5068.828000,344.588003,6.757657,5010.403460,569.694867,5003.987807,4527.889873,0.951533,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,2048,2048,1,150,150,0,6354.677860,6314.930000,6291.587600,6386.945550,278.223757,4.378251,3962.253433,3955.894273,3955.894280,2399.314220,28.833967,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,2048,2048,2,150,150,0,6376.005673,6338.843000,6320.036450,6367.874550,280.393838,4.397641,5209.024620,2035.938913,5202.653807,4345.933347,15.831160,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,2048,2048,4,150,150,0,6700.921060,6660.965000,6651.466450,6689.839700,269.277391,4.018513,6062.601093,1045.847480,6056.255487,5646.962073,12.186280,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,2048,2048,8,150,150,0,7772.475527,7752.755500,7742.537300,7773.371450,187.070487,2.406833,7345.288353,557.740753,7338.889973,7207.324873,9.539560,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,512,2048,1,150,150,0,4830.807333,4813.332000,4785.867450,4865.345050,183.546873,3.799507,3966.732940,3960.474173,3960.474173,859.497000,19.994453,raw global samples aggregated; synthetic Phase-1 shapes only
