candidate,N,q,path,family,reps,t_done_p50_us,e2e_p50_us,release_last_p50_us,e2e_p05_us,e2e_p95_us,release_gap_us,comm_compute_overlap_us,e2e_p50_stdev_us
C0_DEFAULT,512,8,D0_FCOLLECT_SERIAL,DUSHMEM,3,7070.799,7850.239,7064.477,7842.917,7856.716,779.440,779.440,5.637
C0_DEFAULT,512,8,D1_PUSHSIG_OVERLAP,DUSHMEM,9,16646.395,16652.476,16249.738,15272.394,16784.856,6.080,6.080,439.878
C0_DEFAULT,2048,8,D0_FCOLLECT_SERIAL,DUSHMEM,3,7088.715,10104.233,7082.075,10092.145,10124.399,3015.519,3015.519,13.305
C0_DEFAULT,2048,8,D1_PUSHSIG_OVERLAP,DUSHMEM,9,16350.553,16354.874,11859.759,15018.477,17818.793,4.320,4.320,848.508
C0_DEFAULT,2048,16,D0_FCOLLECT_SERIAL,DUSHMEM,3,7099.279,10140.159,7092.556,10101.038,10141.347,3040.880,3040.880,18.728
C0_DEFAULT,2048,16,D1_PUSHSIG_OVERLAP,DUSHMEM,9,29320.616,29332.296,26455.816,27210.469,32341.988,11.680,11.680,1333.095
C0_DEFAULT,4096,8,D0_FCOLLECT_SERIAL,DUSHMEM,3,7127.196,15163.114,7121.196,15145.666,15187.266,8035.918,8035.918,17.056
C0_DEFAULT,4096,8,D1_PUSHSIG_OVERLAP,DUSHMEM,9,12893.922,12898.483,11881.354,12763.279,13072.323,4.561,4.561,93.937
