case	collective	size	config	channels	visible_devices	exit_status	log	csv
rep_r1_allreduce_256M_tree_simple_chdefault	allreduce	256M	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_allreduce_256M_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_allreduce_256M_tree_simple_chdefault.csv
rep_r2_allreduce_256M_tree_simple_chdefault	allreduce	256M	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_allreduce_256M_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_allreduce_256M_tree_simple_chdefault.csv
rep_r3_allreduce_256M_tree_simple_chdefault	allreduce	256M	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_allreduce_256M_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_allreduce_256M_tree_simple_chdefault.csv
rep_r1_allreduce_256M_tree_ll_chdefault	allreduce	256M	tree_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_allreduce_256M_tree_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_allreduce_256M_tree_ll_chdefault.csv
rep_r2_allreduce_256M_tree_ll_chdefault	allreduce	256M	tree_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_allreduce_256M_tree_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_allreduce_256M_tree_ll_chdefault.csv
rep_r3_allreduce_256M_tree_ll_chdefault	allreduce	256M	tree_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_allreduce_256M_tree_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_allreduce_256M_tree_ll_chdefault.csv
rep_r1_reducescatter_4K_default_chdefault	reducescatter	4K	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_4K_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_4K_default_chdefault.csv
rep_r2_reducescatter_4K_default_chdefault	reducescatter	4K	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_4K_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_4K_default_chdefault.csv
rep_r3_reducescatter_4K_default_chdefault	reducescatter	4K	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_4K_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_4K_default_chdefault.csv
rep_r1_reducescatter_4K_ring_simple_chdefault	reducescatter	4K	ring_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_4K_ring_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_4K_ring_simple_chdefault.csv
rep_r2_reducescatter_4K_ring_simple_chdefault	reducescatter	4K	ring_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_4K_ring_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_4K_ring_simple_chdefault.csv
rep_r3_reducescatter_4K_ring_simple_chdefault	reducescatter	4K	ring_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_4K_ring_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_4K_ring_simple_chdefault.csv
rep_r1_reducescatter_4K_ring_ll_chdefault	reducescatter	4K	ring_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_4K_ring_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_4K_ring_ll_chdefault.csv
rep_r2_reducescatter_4K_ring_ll_chdefault	reducescatter	4K	ring_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_4K_ring_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_4K_ring_ll_chdefault.csv
rep_r3_reducescatter_4K_ring_ll_chdefault	reducescatter	4K	ring_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_4K_ring_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_4K_ring_ll_chdefault.csv
rep_r1_reducescatter_4K_tree_simple_chdefault	reducescatter	4K	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_4K_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_4K_tree_simple_chdefault.csv
rep_r2_reducescatter_4K_tree_simple_chdefault	reducescatter	4K	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_4K_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_4K_tree_simple_chdefault.csv
rep_r3_reducescatter_4K_tree_simple_chdefault	reducescatter	4K	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_4K_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_4K_tree_simple_chdefault.csv
rep_r1_reducescatter_4K_tree_ll_chdefault	reducescatter	4K	tree_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_4K_tree_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_4K_tree_ll_chdefault.csv
rep_r2_reducescatter_4K_tree_ll_chdefault	reducescatter	4K	tree_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_4K_tree_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_4K_tree_ll_chdefault.csv
rep_r3_reducescatter_4K_tree_ll_chdefault	reducescatter	4K	tree_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_4K_tree_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_4K_tree_ll_chdefault.csv
rep_r1_reducescatter_64K_default_chdefault	reducescatter	64K	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_64K_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_64K_default_chdefault.csv
rep_r2_reducescatter_64K_default_chdefault	reducescatter	64K	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_64K_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_64K_default_chdefault.csv
rep_r3_reducescatter_64K_default_chdefault	reducescatter	64K	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_64K_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_64K_default_chdefault.csv
rep_r1_reducescatter_64K_ring_simple_chdefault	reducescatter	64K	ring_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_64K_ring_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_64K_ring_simple_chdefault.csv
rep_r2_reducescatter_64K_ring_simple_chdefault	reducescatter	64K	ring_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_64K_ring_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_64K_ring_simple_chdefault.csv
rep_r3_reducescatter_64K_ring_simple_chdefault	reducescatter	64K	ring_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_64K_ring_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_64K_ring_simple_chdefault.csv
rep_r1_reducescatter_64K_ring_ll_chdefault	reducescatter	64K	ring_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_64K_ring_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_64K_ring_ll_chdefault.csv
rep_r2_reducescatter_64K_ring_ll_chdefault	reducescatter	64K	ring_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_64K_ring_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_64K_ring_ll_chdefault.csv
rep_r3_reducescatter_64K_ring_ll_chdefault	reducescatter	64K	ring_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_64K_ring_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_64K_ring_ll_chdefault.csv
rep_r1_reducescatter_64K_tree_simple_chdefault	reducescatter	64K	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_64K_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_64K_tree_simple_chdefault.csv
rep_r2_reducescatter_64K_tree_simple_chdefault	reducescatter	64K	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_64K_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_64K_tree_simple_chdefault.csv
rep_r3_reducescatter_64K_tree_simple_chdefault	reducescatter	64K	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_64K_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_64K_tree_simple_chdefault.csv
