case,collective,size,algo,rep,status,log,csv
ll128_allreduce_Tree_1M_r1,allreduce,1M,Tree,1,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_allreduce_Tree_1M_r1.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_allreduce_Tree_1M_r1.csv
ll128_allreduce_Tree_1M_r2,allreduce,1M,Tree,2,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_allreduce_Tree_1M_r2.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_allreduce_Tree_1M_r2.csv
ll128_allreduce_Tree_8M_r1,allreduce,8M,Tree,1,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_allreduce_Tree_8M_r1.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_allreduce_Tree_8M_r1.csv
ll128_allreduce_Tree_8M_r2,allreduce,8M,Tree,2,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_allreduce_Tree_8M_r2.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_allreduce_Tree_8M_r2.csv
ll128_allreduce_Tree_64M_r1,allreduce,64M,Tree,1,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_allreduce_Tree_64M_r1.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_allreduce_Tree_64M_r1.csv
ll128_allreduce_Tree_64M_r2,allreduce,64M,Tree,2,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_allreduce_Tree_64M_r2.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_allreduce_Tree_64M_r2.csv
ll128_reducescatter_Ring_1M_r1,reducescatter,1M,Ring,1,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_reducescatter_Ring_1M_r1.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_reducescatter_Ring_1M_r1.csv
ll128_reducescatter_Ring_1M_r2,reducescatter,1M,Ring,2,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_reducescatter_Ring_1M_r2.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_reducescatter_Ring_1M_r2.csv
ll128_reducescatter_Ring_8M_r1,reducescatter,8M,Ring,1,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_reducescatter_Ring_8M_r1.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_reducescatter_Ring_8M_r1.csv
ll128_reducescatter_Ring_8M_r2,reducescatter,8M,Ring,2,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_reducescatter_Ring_8M_r2.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_reducescatter_Ring_8M_r2.csv
ll128_reducescatter_Ring_64M_r1,reducescatter,64M,Ring,1,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_reducescatter_Ring_64M_r1.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_reducescatter_Ring_64M_r1.csv
ll128_reducescatter_Ring_64M_r2,reducescatter,64M,Ring,2,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_reducescatter_Ring_64M_r2.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_reducescatter_Ring_64M_r2.csv
ll128_reducescatter_Tree_1M_r1,reducescatter,1M,Tree,1,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_reducescatter_Tree_1M_r1.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_reducescatter_Tree_1M_r1.csv
ll128_reducescatter_Tree_1M_r2,reducescatter,1M,Tree,2,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_reducescatter_Tree_1M_r2.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_reducescatter_Tree_1M_r2.csv
ll128_reducescatter_Tree_8M_r1,reducescatter,8M,Tree,1,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_reducescatter_Tree_8M_r1.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_reducescatter_Tree_8M_r1.csv
ll128_reducescatter_Tree_8M_r2,reducescatter,8M,Tree,2,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_reducescatter_Tree_8M_r2.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_reducescatter_Tree_8M_r2.csv
ll128_reducescatter_Tree_64M_r1,reducescatter,64M,Tree,1,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_reducescatter_Tree_64M_r1.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_reducescatter_Tree_64M_r1.csv
ll128_reducescatter_Tree_64M_r2,reducescatter,64M,Tree,2,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_reducescatter_Tree_64M_r2.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_reducescatter_Tree_64M_r2.csv
