case_id	phase	repetition	ranks	shape_id	m_local	n	k	q	path	candidate	status	started_utc	ended_utc	case_dir
preflight_r1_P0_p2_m128_n128_k128_q1_comm_C0_DEFAULT	preflight	1	2	P0	128	128	128	1	comm	C0_DEFAULT	0	2026-08-31T09:48:22Z	2026-08-31T09:48:33Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/preflight_r1_P0_p2_m128_n128_k128_q1_comm_C0_DEFAULT
preflight_r1_P0_p2_m128_n128_k128_q1_gemm_C0_DEFAULT	preflight	1	2	P0	128	128	128	1	gemm	C0_DEFAULT	0	2026-08-31T09:48:33Z	2026-08-31T09:48:44Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/preflight_r1_P0_p2_m128_n128_k128_q1_gemm_C0_DEFAULT
preflight_r1_P0_p2_m128_n128_k128_q1_b0_C0_DEFAULT	preflight	1	2	P0	128	128	128	1	b0	C0_DEFAULT	0	2026-08-31T09:48:44Z	2026-08-31T09:48:55Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/preflight_r1_P0_p2_m128_n128_k128_q1_b0_C0_DEFAULT
preflight_r1_P0_p2_m128_n128_k128_q1_b1_C0_DEFAULT	preflight	1	2	P0	128	128	128	1	b1	C0_DEFAULT	0	2026-08-31T09:48:55Z	2026-08-31T09:49:06Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/preflight_r1_P0_p2_m128_n128_k128_q1_b1_C0_DEFAULT
preflight_r1_P0_p2_m128_n128_k128_q1_h0_C0_DEFAULT	preflight	1	2	P0	128	128	128	1	h0	C0_DEFAULT	0	2026-08-31T09:49:06Z	2026-08-31T09:49:17Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/preflight_r1_P0_p2_m128_n128_k128_q1_h0_C0_DEFAULT
preflight_r1_P0_p2_m128_n128_k128_q2_comm_C0_DEFAULT	preflight	1	2	P0	128	128	128	2	comm	C0_DEFAULT	0	2026-08-31T09:49:17Z	2026-08-31T09:49:28Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/preflight_r1_P0_p2_m128_n128_k128_q2_comm_C0_DEFAULT
preflight_r1_P0_p2_m128_n128_k128_q2_gemm_C0_DEFAULT	preflight	1	2	P0	128	128	128	2	gemm	C0_DEFAULT	0	2026-08-31T09:49:28Z	2026-08-31T09:49:38Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/preflight_r1_P0_p2_m128_n128_k128_q2_gemm_C0_DEFAULT
preflight_r1_P0_p2_m128_n128_k128_q2_b0_C0_DEFAULT	preflight	1	2	P0	128	128	128	2	b0	C0_DEFAULT	0	2026-08-31T09:49:38Z	2026-08-31T09:49:49Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/preflight_r1_P0_p2_m128_n128_k128_q2_b0_C0_DEFAULT
preflight_r1_P0_p2_m128_n128_k128_q2_b1_C0_DEFAULT	preflight	1	2	P0	128	128	128	2	b1	C0_DEFAULT	0	2026-08-31T09:49:49Z	2026-08-31T09:50:00Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/preflight_r1_P0_p2_m128_n128_k128_q2_b1_C0_DEFAULT
preflight_r1_P0_p2_m128_n128_k128_q2_h0_C0_DEFAULT	preflight	1	2	P0	128	128	128	2	h0	C0_DEFAULT	0	2026-08-31T09:50:00Z	2026-08-31T09:50:11Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/preflight_r1_P0_p2_m128_n128_k128_q2_h0_C0_DEFAULT
