case_id	phase	repetition	ranks	shape_id	m_local	n	k	q	path	candidate	status	started_utc	ended_utc	case_dir
phase2_h0_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q2_h0_C2_RING_SIMPLE_CH8	phase2_h0	2	4	S03_CONFIRM	2048	2048	2048	2	h0	C2_RING_SIMPLE_CH8	0	2026-08-31T11:01:46Z	2026-08-31T11:01:59Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_h0_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q2_h0_C2_RING_SIMPLE_CH8
phase2_h0_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q2_h0_C2_RING_SIMPLE_CH8	phase2_h0	3	4	S03_CONFIRM	2048	2048	2048	2	h0	C2_RING_SIMPLE_CH8	0	2026-08-31T11:01:59Z	2026-08-31T11:02:12Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_h0_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q2_h0_C2_RING_SIMPLE_CH8
phase2_h0_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q2_h0_C2_RING_SIMPLE_CH8	phase2_h0	4	4	S03_CONFIRM	2048	2048	2048	2	h0	C2_RING_SIMPLE_CH8	0	2026-08-31T11:02:13Z	2026-08-31T11:02:26Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_h0_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q2_h0_C2_RING_SIMPLE_CH8
phase2_h0_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q2_h0_C2_RING_SIMPLE_CH8	phase2_h0	5	4	S03_CONFIRM	2048	2048	2048	2	h0	C2_RING_SIMPLE_CH8	0	2026-08-31T11:02:26Z	2026-08-31T11:02:39Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_h0_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q2_h0_C2_RING_SIMPLE_CH8
phase2_b1_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C0_DEFAULT	phase2_b1	1	4	S03_CONFIRM	2048	2048	2048	2	b1	C0_DEFAULT	0	2026-08-31T11:02:39Z	2026-08-31T11:02:51Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b1_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C0_DEFAULT
phase2_b1_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C0_DEFAULT	phase2_b1	2	4	S03_CONFIRM	2048	2048	2048	2	b1	C0_DEFAULT	0	2026-08-31T11:02:52Z	2026-08-31T11:03:04Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b1_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C0_DEFAULT
phase2_b1_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C0_DEFAULT	phase2_b1	3	4	S03_CONFIRM	2048	2048	2048	2	b1	C0_DEFAULT	0	2026-08-31T11:03:04Z	2026-08-31T11:03:17Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b1_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C0_DEFAULT
phase2_b1_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C0_DEFAULT	phase2_b1	4	4	S03_CONFIRM	2048	2048	2048	2	b1	C0_DEFAULT	0	2026-08-31T11:03:17Z	2026-08-31T11:03:30Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b1_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C0_DEFAULT
phase2_b1_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C0_DEFAULT	phase2_b1	5	4	S03_CONFIRM	2048	2048	2048	2	b1	C0_DEFAULT	0	2026-08-31T11:03:30Z	2026-08-31T11:03:43Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b1_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C0_DEFAULT
phase2_b1_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C2_RING_SIMPLE_CH8	phase2_b1	1	4	S03_CONFIRM	2048	2048	2048	2	b1	C2_RING_SIMPLE_CH8	0	2026-08-31T11:03:43Z	2026-08-31T11:03:56Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b1_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C2_RING_SIMPLE_CH8
phase2_b1_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C2_RING_SIMPLE_CH8	phase2_b1	2	4	S03_CONFIRM	2048	2048	2048	2	b1	C2_RING_SIMPLE_CH8	0	2026-08-31T11:03:56Z	2026-08-31T11:04:09Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b1_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C2_RING_SIMPLE_CH8
phase2_b1_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C2_RING_SIMPLE_CH8	phase2_b1	3	4	S03_CONFIRM	2048	2048	2048	2	b1	C2_RING_SIMPLE_CH8	0	2026-08-31T11:04:09Z	2026-08-31T11:04:22Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b1_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C2_RING_SIMPLE_CH8
phase2_b1_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C2_RING_SIMPLE_CH8	phase2_b1	4	4	S03_CONFIRM	2048	2048	2048	2	b1	C2_RING_SIMPLE_CH8	0	2026-08-31T11:04:22Z	2026-08-31T11:04:36Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b1_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C2_RING_SIMPLE_CH8
